#FORMAT=WebAnno TSV 3.3


#Text=The British-Iraqi careworker Margaret Hassan, who was kidnapped in Iraq over a month ago, may have been killed by her kidnappers, according to the husband of the 59-year-old.
1-1	0-3	The	
1-2	4-17	British-Iraqi	
1-3	18-28	careworker	
1-4	29-37	Margaret	
1-5	38-44	Hassan	
1-6	44-45	,	
1-7	46-49	who	
1-8	50-53	was	
1-9	54-63	kidnapped	
1-10	64-66	in	
1-11	67-71	Iraq	
1-12	72-76	over	
1-13	77-78	a	
1-14	79-84	month	
1-15	85-88	ago	
1-16	88-89	,	
1-17	90-93	may	
1-18	94-98	have	
1-19	99-103	been	
1-20	104-110	killed	
1-21	111-113	by	
1-22	114-117	her	
1-23	118-128	kidnappers	
1-24	128-129	,	
1-25	130-139	according	
1-26	140-142	to	
1-27	143-146	the	
1-28	147-154	husband	
1-29	155-157	of	
1-30	158-161	the	
1-31	162-164	59	
1-32	164-165	-	
1-33	165-173	year-old	
1-34	173-174	.	

#Text=He was informed by the British Ministry of Foreign Affairs after analysis of a videotape showing the execution of a blindfolded woman.
2-1	175-177	He	
2-2	178-181	was	
2-3	182-190	informed	
2-4	191-193	by	
2-5	194-197	the	
2-6	198-205	British	
2-7	206-214	Ministry	
2-8	215-217	of	
2-9	218-225	Foreign	
2-10	226-233	Affairs	
2-11	234-239	after	
2-12	240-248	analysis	
2-13	249-251	of	
2-14	252-253	a	
2-15	254-263	videotape	
2-16	264-271	showing	
2-17	272-275	the	
2-18	276-285	execution	
2-19	286-288	of	
2-20	289-290	a	
2-21	291-302	blindfolded	
2-22	303-308	woman	
2-23	308-309	.	

#Text=Al Jazeera was also said to have received the tape days ago, but after delaying to confirm Hassan's identity, ultimately decided not to broadcast it.
3-1	310-312	Al	
3-2	313-320	Jazeera	
3-3	321-324	was	
3-4	325-329	also	
3-5	330-334	said	
3-6	335-337	to	
3-7	338-342	have	
3-8	343-351	received	
3-9	352-355	the	
3-10	356-360	tape	
3-11	361-365	days	
3-12	366-369	ago	
3-13	369-370	,	
3-14	371-374	but	
3-15	375-380	after	
3-16	381-389	delaying	
3-17	390-392	to	
3-18	393-400	confirm	
3-19	401-409	Hassan's	
3-20	410-418	identity	
3-21	418-419	,	
3-22	420-430	ultimately	
3-23	431-438	decided	
3-24	439-442	not	
3-25	443-445	to	
3-26	446-455	broadcast	
3-27	456-458	it	
3-28	458-459	.	

#Text=The international organization CARE was shocked by the news.
4-1	463-466	The	
4-2	467-480	international	
4-3	481-493	organization	
4-4	494-498	CARE	
4-5	499-502	was	
4-6	503-510	shocked	
4-7	511-513	by	
4-8	514-517	the	
4-9	518-522	news	
4-10	522-523	.	

#Text=Hassan led the CARE-department in Iraq for years.
5-1	524-530	Hassan	
5-2	531-534	led	
5-3	535-538	the	
5-4	539-554	CARE-department	
5-5	555-557	in	
5-6	558-562	Iraq	
5-7	563-566	for	
5-8	567-572	years	
5-9	572-573	.	

#Text=Since her kidnapping on October 19, 2004, has appeared on several tapes pleading for her life.
6-1	577-582	Since	
6-2	583-586	her	
6-3	587-597	kidnapping	
6-4	598-600	on	
6-5	601-608	October	
6-6	609-611	19	
6-7	611-612	,	
6-8	613-617	2004	
6-9	617-618	,	
6-10	619-622	has	
6-11	623-631	appeared	
6-12	632-634	on	
6-13	635-642	several	
6-14	643-648	tapes	
6-15	649-657	pleading	
6-16	658-661	for	
6-17	662-665	her	
6-18	666-670	life	
6-19	670-671	.	

#Text=She made a personal request addressed to Prime Minister Tony Blair to remove British troops from Iraq to meet her kidnappers demands.
7-1	672-675	She	
7-2	676-680	made	
7-3	681-682	a	
7-4	683-691	personal	
7-5	692-699	request	
7-6	700-709	addressed	
7-7	710-712	to	
7-8	713-718	Prime	
7-9	719-727	Minister	
7-10	728-732	Tony	
7-11	733-738	Blair	
7-12	739-741	to	
7-13	742-748	remove	
7-14	749-756	British	
7-15	757-763	troops	
7-16	764-768	from	
7-17	769-773	Iraq	
7-18	774-776	to	
7-19	777-781	meet	
7-20	782-785	her	
7-21	786-796	kidnappers	
7-22	797-804	demands	
7-23	804-805	.	
