#FORMAT=WebAnno TSV 3.3


#Text=Japan's Diet has proposed to reduce economic assistance given to China.
1-1	0-7	Japan's	
1-2	8-12	Diet	
1-3	13-16	has	
1-4	17-25	proposed	
1-5	26-28	to	
1-6	29-35	reduce	
1-7	36-44	economic	
1-8	45-55	assistance	
1-9	56-61	given	
1-10	62-64	to	
1-11	65-70	China	
1-12	70-71	.	

#Text=Economic aid is currently given in the form of grants and technical assistance under the Official development assistance (ODA) program.
2-1	72-80	Economic	
2-2	81-84	aid	
2-3	85-87	is	
2-4	88-97	currently	
2-5	98-103	given	
2-6	104-106	in	
2-7	107-110	the	
2-8	111-115	form	
2-9	116-118	of	
2-10	119-125	grants	
2-11	126-129	and	
2-12	130-139	technical	
2-13	140-150	assistance	
2-14	151-156	under	
2-15	157-160	the	
2-16	161-169	Official	
2-17	170-181	development	
2-18	182-192	assistance	
2-19	193-194	(	
2-20	194-197	ODA	
2-21	197-198	)	
2-22	199-206	program	
2-23	206-207	.	

#Text=ODA contributes to the development of the economies of states harmed by Japan during World War II, an approach pursued not only as restitution but to improve regional stability and to secure scarce natural resource trade.
3-1	208-211	ODA	
3-2	212-223	contributes	
3-3	224-226	to	
3-4	227-230	the	
3-5	231-242	development	
3-6	243-245	of	
3-7	246-249	the	
3-8	250-259	economies	
3-9	260-262	of	
3-10	263-269	states	
3-11	270-276	harmed	
3-12	277-279	by	
3-13	280-285	Japan	
3-14	286-292	during	
3-15	293-298	World	
3-16	299-302	War	
3-17	303-305	II	
3-18	305-306	,	
3-19	307-309	an	
3-20	310-318	approach	
3-21	319-326	pursued	
3-22	327-330	not	
3-23	331-335	only	
3-24	336-338	as	
3-25	339-350	restitution	
3-26	351-354	but	
3-27	355-357	to	
3-28	358-365	improve	
3-29	366-374	regional	
3-30	375-384	stability	
3-31	385-388	and	
3-32	389-391	to	
3-33	392-398	secure	
3-34	399-405	scarce	
3-35	406-413	natural	
3-36	414-422	resource	
3-37	423-428	trade	
3-38	428-429	.	

#Text=Assistance to mainland China will total $8.9bn this year, making Japan an unusual second to the United States in aid.
4-1	433-443	Assistance	
4-2	444-446	to	
4-3	447-455	mainland	
4-4	456-461	China	
4-5	462-466	will	
4-6	467-472	total	
4-7	473-479	$8.9bn	
4-8	480-484	this	
4-9	485-489	year	
4-10	489-490	,	
4-11	491-497	making	
4-12	498-503	Japan	
4-13	504-506	an	
4-14	507-514	unusual	
