#FORMAT=WebAnno TSV 3.3


#Text=Prime Minister Ariel Sharon considered a temporary coup d'état of the Israeli government with other members of the Israeli military shortly before the 1967 Arab-Israeli War, it has been revealed.
1-1	0-5	Prime	
1-2	6-14	Minister	
1-3	15-20	Ariel	
1-4	21-27	Sharon	
1-5	28-38	considered	
1-6	39-40	a	
1-7	41-50	temporary	
1-8	51-55	coup	
1-9	56-62	d'état	
1-10	63-65	of	
1-11	66-69	the	
1-12	70-77	Israeli	
1-13	78-88	government	
1-14	89-93	with	
1-15	94-99	other	
1-16	100-107	members	
1-17	108-110	of	
1-18	111-114	the	
1-19	115-122	Israeli	
1-20	123-131	military	
1-21	132-139	shortly	
1-22	140-146	before	
1-23	147-150	the	
1-24	151-155	1967	
1-25	156-168	Arab-Israeli	
1-26	169-172	War	
1-27	172-173	,	
1-28	174-176	it	
1-29	177-180	has	
1-30	181-185	been	
1-31	186-194	revealed	
1-32	194-195	.	

#Text=Days leading up to the '67 Arab-Israeli War featured a build-up of Egyptian, Syrian, and Iraqi forces on the border that was perceived by many as a threat to the very existence of Israel.
2-1	199-203	Days	
2-2	204-211	leading	
2-3	212-214	up	
2-4	215-217	to	
2-5	218-221	the	
2-6	222-223	'	
2-7	223-225	67	
2-8	226-238	Arab-Israeli	
2-9	239-242	War	
2-10	243-251	featured	
2-11	252-253	a	
2-12	254-262	build-up	
2-13	263-265	of	
2-14	266-274	Egyptian	
2-15	274-275	,	
2-16	276-282	Syrian	
2-17	282-283	,	
2-18	284-287	and	
2-19	288-293	Iraqi	
2-20	294-300	forces	
2-21	301-303	on	
2-22	304-307	the	
2-23	308-314	border	
2-24	315-319	that	
2-25	320-323	was	
2-26	324-333	perceived	
2-27	334-336	by	
2-28	337-341	many	
2-29	342-344	as	
2-30	345-346	a	
2-31	347-353	threat	
2-32	354-356	to	
2-33	357-360	the	
2-34	361-365	very	
2-35	366-375	existence	
2-36	376-378	of	
2-37	379-385	Israel	
2-38	385-386	.	

#Text=Military advisors pressured for a preemptive strike, which was felt necessary to offset Israeli numerical inferiority.
3-1	387-395	Military	
3-2	396-404	advisors	
3-3	405-414	pressured	
3-4	415-418	for	
3-5	419-420	a	
3-6	421-431	preemptive	
3-7	432-438	strike	
3-8	438-439	,	
3-9	440-445	which	
3-10	446-449	was	
3-11	450-454	felt	
3-12	455-464	necessary	
3-13	465-467	to	
3-14	468-474	offset	
3-15	475-482	Israeli	
3-16	483-492	numerical	
3-17	493-504	inferiority	
3-18	504-505	.	

#Text=Then-Prime Minister Levi Eshkol was under intense pressure from his cabinet and military on the decision to pursue diplomacy or war.
4-1	506-516	Then-Prime	
4-2	517-525	Minister	
4-3	526-530	Levi	
4-4	531-537	Eshkol	
4-5	538-541	was	
4-6	542-547	under	
4-7	548-555	intense	
4-8	556-564	pressure	
4-9	565-569	from	
4-10	570-573	his	
4-11	574-581	cabinet	
4-12	582-585	and	
4-13	586-594	military	
4-14	595-597	on	
4-15	598-601	the	
4-16	602-610	decision	
4-17	611-613	to	
4-18	614-620	pursue	
4-19	621-630	diplomacy	
