#FORMAT=WebAnno TSV 3.3


#Text=Tenuous relations between Japan and the People's Republic of China were strained last week when a Chinese nuclear-powered submarine entered Japanese territorial waters southwest of Okinawa.
1-1	0-7	Tenuous	
1-2	8-17	relations	
1-3	18-25	between	
1-4	26-31	Japan	
1-5	32-35	and	
1-6	36-39	the	
1-7	40-48	People's	
1-8	49-57	Republic	
1-9	58-60	of	
1-10	61-66	China	
1-11	67-71	were	
1-12	72-80	strained	
1-13	81-85	last	
1-14	86-90	week	
1-15	91-95	when	
1-16	96-97	a	
1-17	98-105	Chinese	
1-18	106-121	nuclear-powered	
1-19	122-131	submarine	
1-20	132-139	entered	
1-21	140-148	Japanese	
1-22	149-160	territorial	
1-23	161-167	waters	
1-24	168-177	southwest	
1-25	178-180	of	
1-26	181-188	Okinawa	
1-27	188-189	.	

#Text=The intrusion occurred on 10 November, Japanese time (UTC+9).
2-1	193-196	The	
2-2	197-206	intrusion	
2-3	207-215	occurred	
2-4	216-218	on	
2-5	219-221	10	
2-6	222-230	November	
2-7	230-231	,	
2-8	232-240	Japanese	
2-9	241-245	time	
2-10	246-247	(	
2-11	247-250	UTC	
2-12	250-251	+	
2-13	251-252	9	
2-14	252-253	)	
2-15	253-254	.	

#Text=The submarine was quickly spotted by Japan's Self-Defence Forces and was tracked by helicopter as it wandered in Japanese waters for two hours before moving north-west.
3-1	255-258	The	
3-2	259-268	submarine	
3-3	269-272	was	
3-4	273-280	quickly	
3-5	281-288	spotted	
3-6	289-291	by	
3-7	292-299	Japan's	
3-8	300-312	Self-Defence	
3-9	313-319	Forces	
3-10	320-323	and	
3-11	324-327	was	
3-12	328-335	tracked	
3-13	336-338	by	
3-14	339-349	helicopter	
3-15	350-352	as	
3-16	353-355	it	
3-17	356-364	wandered	
3-18	365-367	in	
3-19	368-376	Japanese	
3-20	377-383	waters	
3-21	384-387	for	
3-22	388-391	two	
3-23	392-397	hours	
3-24	398-404	before	
3-25	405-411	moving	
3-26	412-422	north-west	
3-27	422-423	.	

#Text=International law requires a tracked submarine to surface and identify its nationality in times of peace; the submarine did not do so.
4-1	424-437	International	
4-2	438-441	law	
4-3	442-450	requires	
4-4	451-452	a	
4-5	453-460	tracked	
4-6	461-470	submarine	
4-7	471-473	to	
4-8	474-481	surface	
4-9	482-485	and	
4-10	486-494	identify	
4-11	495-498	its	
4-12	499-510	nationality	
4-13	511-513	in	
4-14	514-519	times	
4-15	520-522	of	
4-16	523-528	peace	
4-17	528-529	;	
4-18	530-533	the	
4-19	534-543	submarine	
4-20	544-547	did	
4-21	548-551	not	
4-22	552-554	do	
4-23	555-557	so	
4-24	557-558	.	

#Text=Many Japanese officials in the Defence Agency considered the intrusion an act of provocation and "showing off," as the submarine in question was a particularly noisy model.
5-1	562-566	Many	
5-2	567-575	Japanese	
5-3	576-585	officials	
5-4	586-588	in	
5-5	589-592	the	
5-6	593-600	Defence	
5-7	601-607	Agency	
5-8	608-618	considered	
5-9	619-622	the	
5-10	623-632	intrusion	
5-11	633-635	an	
5-12	636-639	act	
5-13	640-642	of	
5-14	643-654	provocation	
5-15	655-658	and	
5-16	659-660	"	
5-17	660-667	showing	
5-18	668-671	off	
5-19	671-672	,	
5-20	672-673	"	
5-21	674-676	as	
5-22	677-680	the	
5-23	681-690	submarine	
5-24	691-693	in	
5-25	694-702	question	
5-26	703-706	was	
5-27	707-708	a	
5-28	709-721	particularly	
5-29	722-727	noisy	
5-30	728-733	model	
5-31	733-734	.	

#Text=It continued traveling very slowly after being spotted, and remained in shallow waters.
6-1	735-737	It	
6-2	738-747	continued	
6-3	748-757	traveling	
6-4	758-762	very	
6-5	763-769	slowly	
6-6	770-775	after	
6-7	776-781	being	
6-8	782-789	spotted	
6-9	789-790	,	
6-10	791-794	and	
6-11	795-803	remained	
6-12	804-806	in	
6-13	807-814	shallow	
6-14	815-821	waters	
6-15	821-822	.	

#Text=The intrustion caused Japanese Self-Defense Forces to go on alert for the second time since the Second World War.
7-1	823-826	The	
7-2	827-837	intrustion	
7-3	838-844	caused	
7-4	845-853	Japanese	
7-5	854-866	Self-Defense	
7-6	867-873	Forces	
7-7	874-876	to	
7-8	877-879	go	
7-9	880-882	on	
7-10	883-888	alert	
7-11	889-892	for	
7-12	893-896	the	
7-13	897-903	second	
7-14	904-908	time	
7-15	909-914	since	
7-16	915-918	the	
7-17	919-925	Second	
7-18	926-931	World	
7-19	932-935	War	
7-20	935-936	.	

#Text=The submarine in question is believed to be a Type 09-1 Han Class attack submarine.
8-1	940-943	The	
8-2	944-953	submarine	
8-3	954-956	in	
8-4	957-965	question	
8-5	966-968	is	
8-6	969-977	believed	
8-7	978-980	to	
8-8	981-983	be	
8-9	984-985	a	
8-10	986-990	Type	
8-11	991-993	09	
8-12	993-994	-	
8-13	994-995	1	
8-14	996-999	Han	
8-15	1000-1005	Class	
8-16	1006-1012	attack	
8-17	1013-1022	submarine	
8-18	1022-1023	.	

#Text=It is a nuclear-powered submarine designed in the 1950s and first built in the 1974.
9-1	1024-1026	It	
9-2	1027-1029	is	
9-3	1030-1031	a	
9-4	1032-1047	nuclear-powered	
9-5	1048-1057	submarine	
9-6	1058-1066	designed	
9-7	1067-1069	in	
9-8	1070-1073	the	
9-9	1074-1079	1950s	
9-10	1080-1083	and	
9-11	1084-1089	first	
9-12	1090-1095	built	
9-13	1096-1098	in	
9-14	1099-1102	the	
9-15	1103-1107	1974	
9-16	1107-1108	.	

