#FORMAT=WebAnno TSV 3.3


#Text=Investigators said that Saddam Hussein diverted money from the Oil-for-Food Program to pay millions of dollars to families of suicide bombers from the West Bank and Gaza Strip who carried out attacks on Israeli civilians.
1-1	0-13	Investigators	
1-2	14-18	said	
1-3	19-23	that	
1-4	24-30	Saddam	
1-5	31-38	Hussein	
1-6	39-47	diverted	
1-7	48-53	money	
1-8	54-58	from	
1-9	59-62	the	
1-10	63-75	Oil-for-Food	
1-11	76-83	Program	
1-12	84-86	to	
1-13	87-90	pay	
1-14	91-99	millions	
1-15	100-102	of	
1-16	103-110	dollars	
1-17	111-113	to	
1-18	114-122	families	
1-19	123-125	of	
1-20	126-133	suicide	
1-21	134-141	bombers	
1-22	142-146	from	
1-23	147-150	the	
1-24	151-155	West	
1-25	156-160	Bank	
1-26	161-164	and	
1-27	165-169	Gaza	
1-28	170-175	Strip	
1-29	176-179	who	
1-30	180-187	carried	
1-31	188-191	out	
1-32	192-199	attacks	
1-33	200-202	on	
1-34	203-210	Israeli	
1-35	211-220	civilians	
1-36	220-221	.	

#Text=Paul Volcker, a former American official investigating the diverted funds scandal, has taken some heat from advocates demanding that he haul United Nations personnel before the US Congress.
2-1	223-227	Paul	
2-2	228-235	Volcker	
2-3	235-236	,	
2-4	237-238	a	
2-5	239-245	former	
2-6	246-254	American	
2-7	255-263	official	
2-8	264-277	investigating	
2-9	278-281	the	
2-10	282-290	diverted	
2-11	291-296	funds	
2-12	297-304	scandal	
2-13	304-305	,	
2-14	306-309	has	
2-15	310-315	taken	
2-16	316-320	some	
2-17	321-325	heat	
2-18	326-330	from	
2-19	331-340	advocates	
2-20	341-350	demanding	
2-21	351-355	that	
2-22	356-358	he	
2-23	359-363	haul	
2-24	364-370	United	
2-25	371-378	Nations	
2-26	379-388	personnel	
2-27	389-395	before	
2-28	396-399	the	
2-29	400-402	US	
2-30	403-411	Congress	
2-31	411-412	.	

#Text=His reason for not subjecting them to this degree of open scrutiny is that it would have the perverse effect of pushing them into refusing to cooperate with the investigation at all.
3-1	413-416	His	
3-2	417-423	reason	
3-3	424-427	for	
3-4	428-431	not	
3-5	432-442	subjecting	
3-6	443-447	them	
3-7	448-450	to	
3-8	451-455	this	
3-9	456-462	degree	
3-10	463-465	of	
3-11	466-470	open	
3-12	471-479	scrutiny	
3-13	480-482	is	
3-14	483-487	that	
3-15	488-490	it	
3-16	491-496	would	
3-17	497-501	have	
3-18	502-505	the	
3-19	506-514	perverse	
3-20	515-521	effect	
3-21	522-524	of	
3-22	525-532	pushing	
3-23	533-537	them	
3-24	538-542	into	
3-25	543-551	refusing	
3-26	552-554	to	
3-27	555-564	cooperate	
3-28	565-569	with	
3-29	570-573	the	
3-30	574-587	investigation	
3-31	588-590	at	
3-32	591-594	all	
3-33	594-595	.	

#Text=He plans to release documentary evidence early next year, when his investigation is complete.
4-1	596-598	He	
4-2	599-604	plans	
4-3	605-607	to	
4-4	608-615	release	
4-5	616-627	documentary	
4-6	628-636	evidence	
4-7	637-642	early	
4-8	643-647	next	
4-9	648-652	year	
4-10	652-653	,	
4-11	654-658	when	
4-12	659-662	his	
4-13	663-676	investigation	
4-14	677-679	is	
4-15	680-688	complete	
4-16	688-689	.	
