#FORMAT=WebAnno TSV 3.3


#Text=The 10th session of the Conference of Parties (COP 10) is being held in the Argentine capital of Buenos Aires; signatories of the United Nations Framework Convention on Climate Change have gathered to discuss issues involving global warming.
1-1	0-3	The	
1-2	4-8	10th	
1-3	9-16	session	
1-4	17-19	of	
1-5	20-23	the	
1-6	24-34	Conference	
1-7	35-37	of	
1-8	38-45	Parties	
1-9	46-47	(	
1-10	47-50	COP	
1-11	51-53	10	
1-12	53-54	)	
1-13	55-57	is	
1-14	58-63	being	
1-15	64-68	held	
1-16	69-71	in	
1-17	72-75	the	
1-18	76-85	Argentine	
1-19	86-93	capital	
1-20	94-96	of	
1-21	97-103	Buenos	
1-22	104-109	Aires	
1-23	109-110	;	
1-24	111-122	signatories	
1-25	123-125	of	
1-26	126-129	the	
1-27	130-136	United	
1-28	137-144	Nations	
1-29	145-154	Framework	
1-30	155-165	Convention	
1-31	166-168	on	
1-32	169-176	Climate	
1-33	177-183	Change	
1-34	184-188	have	
1-35	189-197	gathered	
1-36	198-200	to	
1-37	201-208	discuss	
1-38	209-215	issues	
1-39	216-225	involving	
1-40	226-232	global	
1-41	233-240	warming	
1-42	240-241	.	

#Text=Senior U.S. negotiator Dr.
2-1	242-248	Senior	
2-2	249-252	U.S	
2-3	252-253	.	
2-4	254-264	negotiator	
2-5	265-267	Dr	
2-6	267-268	.	

#Text=Harlan Watson came under fire for the United States' refusal to ratify the almost 10 year old Kyoto Treaty (AKA: Kyoto Protocol) which aims to reduce the emission of 6 greenhouse gases in the 55+ signatory nations and requires participating industrialized countries to give money and technology to developing countries.
3-1	269-275	Harlan	
3-2	276-282	Watson	
3-3	283-287	came	
3-4	288-293	under	
3-5	294-298	fire	
3-6	299-302	for	
3-7	303-306	the	
3-8	307-313	United	
3-9	314-320	States	
3-10	320-321	'	
3-11	322-329	refusal	
3-12	330-332	to	
3-13	333-339	ratify	
3-14	340-343	the	
3-15	344-350	almost	
3-16	351-353	10	
3-17	354-358	year	
3-18	359-362	old	
3-19	363-368	Kyoto	
3-20	369-375	Treaty	
3-21	376-377	(	
3-22	377-380	AKA	
3-23	380-381	:	
3-24	382-387	Kyoto	
3-25	388-396	Protocol	
3-26	396-397	)	
3-27	398-403	which	
3-28	404-408	aims	
3-29	409-411	to	
3-30	412-418	reduce	
3-31	419-422	the	
3-32	423-431	emission	
3-33	432-434	of	
3-34	435-436	6	
3-35	437-447	greenhouse	
3-36	448-453	gases	
3-37	454-456	in	
3-38	457-460	the	
3-39	461-463	55	
3-40	463-464	+	
3-41	465-474	signatory	
3-42	475-482	nations	
3-43	483-486	and	
3-44	487-495	requires	
3-45	496-509	participating	
3-46	510-524	industrialized	
3-47	525-534	countries	
3-48	535-537	to	
3-49	538-542	give	
3-50	543-548	money	
3-51	549-552	and	
3-52	553-563	technology	
3-53	564-566	to	
3-54	567-577	developing	
3-55	578-587	countries	
3-56	587-588	.	

#Text=Watson countered these complaints by arguing that, "Kyoto is a political agreement, it's not based on science."
4-1	592-598	Watson	
4-2	599-608	countered	
4-3	609-614	these	
4-4	615-625	complaints	
4-5	626-628	by	
4-6	629-636	arguing	
4-7	637-641	that	
4-8	641-642	,	
4-9	643-644	"	
4-10	644-649	Kyoto	
4-11	650-652	is	
4-12	653-654	a	
4-13	655-664	political	
4-14	665-674	agreement	
4-15	674-675	,	
4-16	676-680	it's	
4-17	681-684	not	
4-18	685-690	based	
4-19	691-693	on	
4-20	694-701	science	
4-21	701-702	.	
4-22	702-703	"	

#Text=He also stated that the United States remains steadfast to its current position on global climate change.
5-1	704-706	He	
5-2	707-711	also	
5-3	712-718	stated	
5-4	719-723	that	
5-5	724-727	the	
5-6	728-734	United	
5-7	735-741	States	
5-8	742-749	remains	
5-9	750-759	steadfast	
5-10	760-762	to	
5-11	763-766	its	
5-12	767-774	current	
5-13	775-783	position	
5-14	784-786	on	
5-15	787-793	global	
5-16	794-801	climate	
5-17	802-808	change	
5-18	808-809	.	

#Text=Supporters of the Kyoto Treaty state the protocol's required actions are not sufficient to effect their claimed warming effects.
6-1	810-820	Supporters	
6-2	821-823	of	
6-3	824-827	the	
6-4	828-833	Kyoto	
6-5	834-840	Treaty	
6-6	841-846	state	
6-7	847-850	the	
6-8	851-861	protocol's	
6-9	862-870	required	
6-10	871-878	actions	
6-11	879-882	are	
6-12	883-886	not	
6-13	887-897	sufficient	
6-14	898-900	to	
6-15	901-907	effect	
6-16	908-913	their	
6-17	914-921	claimed	
6-18	922-929	warming	
6-19	930-937	effects	
6-20	937-938	.	
