#FORMAT=WebAnno TSV 3.3


#Text=Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.
1-1	0-6	Acting	
1-2	7-16	president	
1-3	17-22	Rawhi	
1-4	23-29	Fattuh	
1-5	30-33	has	
1-6	34-43	announced	
1-7	44-49	today	
1-8	50-54	that	
1-9	55-66	Palestinian	
1-10	67-76	elections	
1-11	77-81	will	
1-12	82-84	be	
1-13	85-89	held	
1-14	90-92	on	
1-15	93-100	January	
1-16	101-102	9	
1-17	102-103	.	

#Text=Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.
2-1	104-110	Futtuh	
2-2	110-111	,	
2-3	112-116	head	
2-4	117-119	of	
2-5	120-123	the	
2-6	124-135	Palestinian	
2-7	136-146	parliament	
2-8	146-147	,	
2-9	148-151	was	
2-10	152-157	sworn	
2-11	158-160	in	
2-12	161-166	hours	
2-13	167-172	after	
2-14	173-176	the	
2-15	177-182	death	
2-16	183-185	of	
2-17	186-192	Yasser	
2-18	193-199	Arafat	
2-19	200-202	on	
2-20	203-211	Thursday	
2-21	211-212	,	
2-22	213-216	and	
2-23	217-228	Palestinian	
2-24	229-234	Basic	
2-25	235-238	Law	
2-26	239-247	dictates	
2-27	248-252	that	
2-28	253-255	he	
2-29	256-259	may	
2-30	260-264	only	
2-31	265-270	serve	
2-32	271-273	up	
2-33	274-276	to	
2-34	277-280	two	
2-35	281-287	months	
2-36	288-294	before	
2-37	295-304	elections	
2-38	305-308	are	
2-39	309-313	held	
2-40	313-314	.	

#Text=New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.
3-1	316-319	New	
3-2	320-330	leadership	
3-3	331-336	could	
3-4	337-342	prove	
3-5	343-345	to	
3-6	346-348	be	
3-7	349-352	the	
3-8	353-356	key	
3-9	357-359	to	
3-10	360-372	revitalizing	
3-11	373-376	the	
3-12	377-382	peace	
3-13	383-390	process	
3-14	391-393	in	
3-15	394-397	the	
3-16	398-404	Middle	
3-17	405-409	East	
3-18	409-410	,	
3-19	411-413	as	
3-20	414-418	both	
3-21	419-425	Israel	
3-22	426-429	and	
3-23	430-433	the	
3-24	434-440	United	
3-25	441-447	States	
3-26	448-451	had	
3-27	452-459	refused	
3-28	460-462	to	
3-29	463-467	work	
3-30	468-472	with	
3-31	473-479	Arafat	
3-32	479-480	.	

#Text=The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, "the matter is still being discussed."
4-1	482-485	The	
4-2	486-493	Haaretz	
4-3	494-497	had	
4-4	498-507	initially	
4-5	508-516	reported	
4-6	517-521	that	
4-7	522-528	former	
4-8	529-534	prime	
4-9	535-543	minister	
4-10	544-551	Mahmoud	
4-11	552-557	Abbas	
4-12	558-561	was	
4-13	562-570	selected	
4-14	571-573	by	
4-15	574-577	the	
4-16	578-583	Fatah	
4-17	584-591	central	
4-18	592-601	committee	
4-19	602-604	as	
4-20	605-610	their	
4-21	611-620	candidate	
4-22	621-624	for	
4-23	625-634	president	
4-24	634-635	,	
4-25	636-639	but	
4-26	640-645	Abbas	
4-27	646-649	has	
4-28	650-656	denied	
4-29	657-661	this	
4-30	661-662	,	
4-31	663-669	saying	
4-32	669-670	,	
4-33	671-672	"	
4-34	672-675	the	
4-35	676-682	matter	
4-36	683-685	is	
4-37	686-691	still	
4-38	692-697	being	
4-39	698-707	discussed	
4-40	707-708	.	
4-41	708-709	"	

#Text=There have also been conflicting reports on whether or not jailed Palestinian leader Marwan Barghouti will run.
5-1	710-715	There	
5-2	716-720	have	
5-3	721-725	also	
5-4	726-730	been	
5-5	731-742	conflicting	
5-6	743-750	reports	
5-7	751-753	on	
5-8	754-761	whether	
5-9	762-764	or	
5-10	765-768	not	
5-11	769-775	jailed	
5-12	776-787	Palestinian	
5-13	788-794	leader	
5-14	795-801	Marwan	
5-15	802-811	Barghouti	
5-16	812-816	will	
5-17	817-820	run	
5-18	820-821	.	

#Text=Barghouti is currently serving five life sentences in Israel for attacks against Israelis.
6-1	823-832	Barghouti	
6-2	833-835	is	
6-3	836-845	currently	
6-4	846-853	serving	
6-5	854-858	five	
6-6	859-863	life	
6-7	864-873	sentences	
6-8	874-876	in	
6-9	877-883	Israel	
6-10	884-887	for	
6-11	888-895	attacks	
6-12	896-903	against	
6-13	904-912	Israelis	
6-14	912-913	.	

#Text=Nonetheless, he remains a popular figure among Palestinians for his role in the Palestinian uprising, and could potentially win the election if he decided to run.
