#FORMAT=WebAnno TSV 3.3


#Text=In the United Kingdom, the music video for this Christmas' remake of the charity single Do They Know It's Christmas?
1-1	0-2	In	
1-2	3-6	the	
1-3	7-13	United	
1-4	14-21	Kingdom	
1-5	21-22	,	
1-6	23-26	the	
1-7	27-32	music	
1-8	33-38	video	
1-9	39-42	for	
1-10	43-47	this	
1-11	48-57	Christmas	
1-12	57-58	'	
1-13	59-65	remake	
1-14	66-68	of	
1-15	69-72	the	
1-16	73-80	charity	
1-17	81-87	single	
1-18	88-90	Do	
1-19	91-95	They	
1-20	96-100	Know	
1-21	101-105	It's	
1-22	106-115	Christmas	
1-23	115-116	?	

#Text=was launched simultaneously today (Thursday) on several UK and Irish television channels including BBC One, BBC Two, RTE 1, ITV1, Channel 4, and Sky One.
2-1	117-120	was	
2-2	121-129	launched	
2-3	130-144	simultaneously	
2-4	145-150	today	
2-5	151-152	(	
2-6	152-160	Thursday	
2-7	160-161	)	
2-8	162-164	on	
2-9	165-172	several	
2-10	173-175	UK	
2-11	176-179	and	
2-12	180-185	Irish	
2-13	186-196	television	
2-14	197-205	channels	
2-15	206-215	including	
2-16	216-219	BBC	
2-17	220-223	One	
2-18	223-224	,	
2-19	225-228	BBC	
2-20	229-232	Two	
2-21	232-233	,	
2-22	234-237	RTE	
2-23	238-239	1	
2-24	239-240	,	
2-25	241-245	ITV1	
2-26	245-246	,	
2-27	247-254	Channel	
2-28	255-256	4	
2-29	256-257	,	
2-30	258-261	and	
2-31	262-265	Sky	
2-32	266-269	One	
2-33	269-270	.	

#Text=The debut was made at 17:55 GMT.
3-1	271-274	The	
3-2	275-280	debut	
3-3	281-284	was	
3-4	285-289	made	
3-5	290-292	at	
3-6	293-295	17	
3-7	295-296	:	
3-8	296-298	55	
3-9	299-302	GMT	
3-10	302-303	.	

#Text=The song was originally recorded in 1984 by several of the biggest artists of the time including Bono, Bob Geldof, Paul McCartney and George Michael.
4-1	305-308	The	
4-2	309-313	song	
4-3	314-317	was	
4-4	318-328	originally	
4-5	329-337	recorded	
4-6	338-340	in	
4-7	341-345	1984	
4-8	346-348	by	
4-9	349-356	several	
4-10	357-359	of	
4-11	360-363	the	
4-12	364-371	biggest	
4-13	372-379	artists	
4-14	380-382	of	
4-15	383-386	the	
4-16	387-391	time	
4-17	392-401	including	
4-18	402-406	Bono	
4-19	406-407	,	
4-20	408-411	Bob	
4-21	412-418	Geldof	
4-22	418-419	,	
4-23	420-424	Paul	
4-24	425-434	McCartney	
4-25	435-438	and	
4-26	439-445	George	
4-27	446-453	Michael	
4-28	453-454	.	

#Text=This year, in celebration of 20 years since the first single, the song has been remade by over 50 of today's best selling artists, including Coldplay frontman Chris Martin, Robbie Williams, Bono, Justin Hawkins of The Darkness and Dido.
5-1	455-459	This	
5-2	460-464	year	
5-3	464-465	,	
5-4	466-468	in	
5-5	469-480	celebration	
5-6	481-483	of	
5-7	484-486	20	
5-8	487-492	years	
5-9	493-498	since	
5-10	499-502	the	
5-11	503-508	first	
5-12	509-515	single	
5-13	515-516	,	
5-14	517-520	the	
5-15	521-525	song	
