#FORMAT=WebAnno TSV 3.3


#Text=Reuters has reported that Philip Knight, co-founder of shoe giant Nike, Inc. will step down as the company's CEO and President on December 28.
1-1	0-7	Reuters	
1-2	8-11	has	
1-3	12-20	reported	
1-4	21-25	that	
1-5	26-32	Philip	
1-6	33-39	Knight	
1-7	39-40	,	
1-8	41-51	co-founder	
1-9	52-54	of	
1-10	55-59	shoe	
1-11	60-65	giant	
1-12	66-70	Nike	
1-13	70-71	,	
1-14	72-75	Inc	
1-15	75-76	.	
1-16	77-81	will	
1-17	82-86	step	
1-18	87-91	down	
1-19	92-94	as	
1-20	95-98	the	
1-21	99-108	company's	
1-22	109-112	CEO	
1-23	113-116	and	
1-24	117-126	President	
1-25	127-129	on	
1-26	130-138	December	
1-27	139-141	28	
1-28	141-142	.	

#Text=He will be replaced by William Perez, current CEO of S.C.
2-1	143-145	He	
2-2	146-150	will	
2-3	151-153	be	
2-4	154-162	replaced	
2-5	163-165	by	
2-6	166-173	William	
2-7	174-179	Perez	
2-8	179-180	,	
2-9	181-188	current	
2-10	189-192	CEO	
2-11	193-195	of	
2-12	196-199	S.C	
2-13	199-200	.	

#Text=Johnson &amp; Son, Inc.
3-1	201-208	Johnson	
3-2	209-210	&	
3-3	210-213	amp	
3-4	213-214	;	
3-5	215-218	Son	
3-6	218-219	,	
3-7	220-223	Inc	
3-8	223-224	.	

#Text=While industry experts consider this to be a good move as the company looks to expand beyond its core market, analyst Jamelah Reddy expressed surprise that an individual from outside the company was brought in rather than tapping one of Nike's co-presidents.
4-1	226-231	While	
4-2	232-240	industry	
4-3	241-248	experts	
4-4	249-257	consider	
4-5	258-262	this	
4-6	263-265	to	
4-7	266-268	be	
4-8	269-270	a	
4-9	271-275	good	
4-10	276-280	move	
4-11	281-283	as	
4-12	284-287	the	
4-13	288-295	company	
4-14	296-301	looks	
4-15	302-304	to	
4-16	305-311	expand	
4-17	312-318	beyond	
4-18	319-322	its	
4-19	323-327	core	
4-20	328-334	market	
4-21	334-335	,	
4-22	336-343	analyst	
4-23	344-351	Jamelah	
4-24	352-357	Reddy	
4-25	358-367	expressed	
4-26	368-376	surprise	
4-27	377-381	that	
4-28	382-384	an	
4-29	385-395	individual	
4-30	396-400	from	
4-31	401-408	outside	
4-32	409-412	the	
4-33	413-420	company	
4-34	421-424	was	
4-35	425-432	brought	
4-36	433-435	in	
4-37	436-442	rather	
4-38	443-447	than	
4-39	448-455	tapping	
4-40	456-459	one	
4-41	460-462	of	
4-42	463-469	Nike's	
4-43	470-483	co-presidents	
4-44	483-484	.	

#Text=Reddy said Knight was "leaving big shoes to fill."
5-1	485-490	Reddy	
5-2	491-495	said	
5-3	496-502	Knight	
5-4	503-506	was	
5-5	507-508	"	
5-6	508-515	leaving	
5-7	516-519	big	
5-8	520-525	shoes	
5-9	526-528	to	
5-10	529-533	fill	
5-11	533-534	.	
5-12	534-535	"	

#Text=The move is a blow to activist organizations which have targeted the company for its use of sweatshop labor and other practices.
6-1	537-540	The	
6-2	541-545	move	
6-3	546-548	is	
6-4	549-550	a	
6-5	551-555	blow	
6-6	556-558	to	
6-7	559-567	activist	
6-8	568-581	organizations	
6-9	582-587	which	
6-10	588-592	have	
6-11	593-601	targeted	
6-12	602-605	the	
6-13	606-613	company	
6-14	614-617	for	
6-15	618-621	its	
6-16	622-625	use	
6-17	626-628	of	
6-18	629-638	sweatshop	
6-19	639-644	labor	
6-20	645-648	and	
6-21	649-654	other	
6-22	655-664	practices	
6-23	664-665	.	

