#FORMAT=WebAnno TSV 3.3


#Text=Four National Basketball Association players have been suspended indefinitely for their actions during a brawl at the end of the Friday, November 19th game between the Detroit Pistons and the Indiana Pacers.
1-1	0-4	Four	
1-2	5-13	National	
1-3	14-24	Basketball	
1-4	25-36	Association	
1-5	37-44	players	
1-6	45-49	have	
1-7	50-54	been	
1-8	55-64	suspended	
1-9	65-77	indefinitely	
1-10	78-81	for	
1-11	82-87	their	
1-12	88-95	actions	
1-13	96-102	during	
1-14	103-104	a	
1-15	105-110	brawl	
1-16	111-113	at	
1-17	114-117	the	
1-18	118-121	end	
1-19	122-124	of	
1-20	125-128	the	
1-21	129-135	Friday	
1-22	135-136	,	
1-23	137-145	November	
1-24	146-150	19th	
1-25	151-155	game	
1-26	156-163	between	
1-27	164-167	the	
1-28	168-175	Detroit	
1-29	176-183	Pistons	
1-30	184-187	and	
1-31	188-191	the	
1-32	192-199	Indiana	
1-33	200-206	Pacers	
1-34	206-207	.	

#Text=Ron Artest, Jermaine O'Neal and Stephen Jackson of the Pacers and Ben Wallace of the Pistons learned of the length of their suspensions on Sunday.
2-1	209-212	Ron	
2-2	213-219	Artest	
2-3	219-220	,	
2-4	221-229	Jermaine	
2-5	230-236	O'Neal	
2-6	237-240	and	
2-7	241-248	Stephen	
2-8	249-256	Jackson	
2-9	257-259	of	
2-10	260-263	the	
2-11	264-270	Pacers	
2-12	271-274	and	
2-13	275-278	Ben	
2-14	279-286	Wallace	
2-15	287-289	of	
2-16	290-293	the	
2-17	294-301	Pistons	
2-18	302-309	learned	
2-19	310-312	of	
2-20	313-316	the	
2-21	317-323	length	
2-22	324-326	of	
2-23	327-332	their	
2-24	333-344	suspensions	
2-25	345-347	on	
2-26	348-354	Sunday	
2-27	354-355	.	

#Text=Ron Artest has been suspended for the rest of the season, Stephen Jackson for 30 games, Jermaine O'Neal for 25, and Ben Wallace for 6.
3-1	356-359	Ron	
3-2	360-366	Artest	
3-3	367-370	has	
3-4	371-375	been	
3-5	376-385	suspended	
3-6	386-389	for	
3-7	390-393	the	
3-8	394-398	rest	
3-9	399-401	of	
3-10	402-405	the	
3-11	406-412	season	
3-12	412-413	,	
3-13	414-421	Stephen	
3-14	422-429	Jackson	
3-15	430-433	for	
3-16	434-436	30	
3-17	437-442	games	
3-18	442-443	,	
3-19	444-452	Jermaine	
3-20	453-459	O'Neal	
3-21	460-463	for	
3-22	464-466	25	
3-23	466-467	,	
3-24	468-471	and	
3-25	472-475	Ben	
3-26	476-483	Wallace	
3-27	484-487	for	
3-28	488-489	6	
3-29	489-490	.	

#Text=Pacers guard Anthony Johnson received a 5 game suspension.
4-1	491-497	Pacers	
4-2	498-503	guard	
4-3	504-511	Anthony	
4-4	512-519	Johnson	
4-5	520-528	received	
4-6	529-530	a	
4-7	531-532	5	
4-8	533-537	game	
4-9	538-548	suspension	
4-10	548-549	.	

#Text=In addition, Reggie Miller from Indiana, and Detroit Pistons Chauncey Billups, Elden Campbell and Derrick Coleman were each suspended one game for leaving their bench.
5-1	550-552	In	
5-2	553-561	addition	
5-3	561-562	,	
5-4	563-569	Reggie	
5-5	570-576	Miller	
5-6	577-581	from	
5-7	582-589	Indiana	
5-8	589-590	,	
5-9	591-594	and	
5-10	595-602	Detroit	
5-11	603-610	Pistons	
5-12	611-619	Chauncey	
5-13	620-627	Billups	
5-14	627-628	,	
5-15	629-634	Elden	
5-16	635-643	Campbell	
5-17	644-647	and	
5-18	648-655	Derrick	
5-19	656-663	Coleman	
5-20	664-668	were	
5-21	669-673	each	
5-22	674-683	suspended	
5-23	684-687	one	
5-24	688-692	game	
5-25	693-696	for	
5-26	697-704	leaving	
5-27	705-710	their	
5-28	711-716	bench	
5-29	716-717	.	

#Text=The brawl began with 45.9 seconds left in the game, as Ben Wallace shoved Ron Artest after a particularly hard foul by Artest.
6-1	719-722	The	
6-2	723-728	brawl	
6-3	729-734	began	
6-4	735-739	with	
6-5	740-744	45.9	
6-6	745-752	seconds	
6-7	753-757	left	
6-8	758-760	in	
6-9	761-764	the	
6-10	765-769	game	
6-11	769-770	,	
6-12	771-773	as	
6-13	774-777	Ben	
6-14	778-785	Wallace	
6-15	786-792	shoved	
6-16	793-796	Ron	
6-17	797-803	Artest	
6-18	804-809	after	
6-19	810-811	a	
6-20	812-824	particularly	
6-21	825-829	hard	
6-22	830-834	foul	
6-23	835-837	by	
6-24	838-844	Artest	
6-25	844-845	.	

#Text=That was settled quickly, but a fan then threw a cup at Artest as the referees were handling the aftermath of the fight, and Artest went into the stands, and began throwing punches.
7-1	846-850	That	
7-2	851-854	was	
7-3	855-862	settled	
7-4	863-870	quickly	
7-5	870-871	,	
7-6	872-875	but	
7-7	876-877	a	
7-8	878-881	fan	
7-9	882-886	then	
7-10	887-892	threw	
7-11	893-894	a	
7-12	895-898	cup	
7-13	899-901	at	
7-14	902-908	Artest	
7-15	909-911	as	
7-16	912-915	the	
7-17	916-924	referees	
7-18	925-929	were	
7-19	930-938	handling	
7-20	939-942	the	
7-21	943-952	aftermath	
7-22	953-955	of	
7-23	956-959	the	
7-24	960-965	fight	
7-25	965-966	,	
7-26	967-970	and	
7-27	971-977	Artest	
7-28	978-982	went	
7-29	983-987	into	
7-30	988-991	the	
7-31	992-998	stands	
7-32	998-999	,	
7-33	1000-1003	and	
7-34	1004-1009	began	
7-35	1010-1018	throwing	
7-36	1019-1026	punches	
7-37	1026-1027	.	

#Text=Jackson then joined in and began to throw punches as well.
8-1	1028-1035	Jackson	
8-2	1036-1040	then	
8-3	1041-1047	joined	
8-4	1048-1050	in	
8-5	1051-1054	and	
8-6	1055-1060	began	
8-7	1061-1063	to	
8-8	1064-1069	throw	
8-9	1070-1077	punches	
8-10	1078-1080	as	
8-11	1081-1085	well	
8-12	1085-1086	.	

#Text=Due to the brawl the game was called, and ended with 45.9 seconds left.
9-1	1087-1090	Due	
9-2	1091-1093	to	
9-3	1094-1097	the	
9-4	1098-1103	brawl	
9-5	1104-1107	the	
9-6	1108-1112	game	
9-7	1113-1116	was	
9-8	1117-1123	called	
9-9	1123-1124	,	
9-10	1125-1128	and	
9-11	1129-1134	ended	
9-12	1135-1139	with	
9-13	1140-1144	45.9	
9-14	1145-1152	seconds	
9-15	1153-1157	left	
9-16	1157-1158	.	

#Text=The Pacers were ruled the winner.
10-1	1159-1162	The	
10-2	1163-1169	Pacers	
10-3	1170-1174	were	
10-4	1175-1180	ruled	
10-5	1181-1184	the	
10-6	1185-1191	winner	
10-7	1191-1192	.	

#Text=Artest has had a history of suspensions before this incident.
11-1	1194-1200	Artest	
11-2	1201-1204	has	
11-3	1205-1208	had	
11-4	1209-1210	a	
11-5	1211-1218	history	
11-6	1219-1221	of	
11-7	1222-1233	suspensions	
11-8	1234-1240	before	
11-9	1241-1245	this	
11-10	1246-1254	incident	
11-11	1254-1255	.	

#Text=Last season he was suspended twice, once for leaving the bench during a fight, and once for elbowing Portland player Derek Anderson.
12-1	1256-1260	Last	
12-2	1261-1267	season	
12-3	1268-1270	he	
12-4	1271-1274	was	
12-5	1275-1284	suspended	
12-6	1285-1290	twice	
12-7	1290-1291	,	
12-8	1292-1296	once	
12-9	1297-1300	for	
12-10	1301-1308	leaving	
12-11	1309-1312	the	
12-12	1313-1318	bench	
12-13	1319-1325	during	
12-14	1326-1327	a	
12-15	1328-1333	fight	
12-16	1333-1334	,	
12-17	1335-1338	and	
12-18	1339-1343	once	
12-19	1344-1347	for	
12-20	1348-1356	elbowing	
