#FORMAT=WebAnno TSV 3.3


#Text=President Leonid D.
1-1	0-9	President	
1-2	10-16	Leonid	
1-3	17-18	D	
1-4	18-19	.	

#Text=Kuchma Monday proposed holding a new election to end the political crisis threatening to tear the country apart, according to The New York Times.
2-1	20-26	Kuchma	
2-2	27-33	Monday	
2-3	34-42	proposed	
2-4	43-50	holding	
2-5	51-52	a	
2-6	53-56	new	
2-7	57-65	election	
2-8	66-68	to	
2-9	69-72	end	
2-10	73-76	the	
2-11	77-86	political	
2-12	87-93	crisis	
2-13	94-105	threatening	
2-14	106-108	to	
2-15	109-113	tear	
2-16	114-117	the	
2-17	118-125	country	
2-18	126-131	apart	
2-19	131-132	,	
2-20	133-142	according	
2-21	143-145	to	
2-22	146-149	The	
2-23	150-153	New	
2-24	154-158	York	
2-25	159-164	Times	
2-26	164-165	.	

#Text=Mr.
3-1	167-169	Mr	
3-2	169-170	.	

#Text=Kuchma's remarks, which came as Ukraine's Supreme Court heard complaints of electoral fraud involving perhaps millions of ballots in the November 21 presidential election, represented the collapse of what had been the government's united position that Prime Minister Viktor F.
4-1	171-179	Kuchma's	
4-2	180-187	remarks	
4-3	187-188	,	
4-4	189-194	which	
4-5	195-199	came	
4-6	200-202	as	
4-7	203-212	Ukraine's	
4-8	213-220	Supreme	
4-9	221-226	Court	
4-10	227-232	heard	
4-11	233-243	complaints	
4-12	244-246	of	
4-13	247-256	electoral	
4-14	257-262	fraud	
4-15	263-272	involving	
4-16	273-280	perhaps	
4-17	281-289	millions	
4-18	290-292	of	
4-19	293-300	ballots	
4-20	301-303	in	
4-21	304-307	the	
4-22	308-316	November	
4-23	317-319	21	
4-24	320-332	presidential	
4-25	333-341	election	
4-26	341-342	,	
4-27	343-354	represented	
4-28	355-358	the	
4-29	359-367	collapse	
4-30	368-370	of	
4-31	371-375	what	
4-32	376-379	had	
4-33	380-384	been	
4-34	385-388	the	
4-35	389-401	government's	
4-36	402-408	united	
4-37	409-417	position	
4-38	418-422	that	
4-39	423-428	Prime	
4-40	429-437	Minister	
4-41	438-444	Viktor	
4-42	445-446	F	
4-43	446-447	.	

#Text=Yanukovych won the election.
5-1	448-458	Yanukovych	
5-2	459-462	won	
5-3	463-466	the	
5-4	467-475	election	
5-5	475-476	.	

#Text=Amid protests of up to 200,000 over Ukraine's disputed presidential election, officially declared loser Viktor Yushchenko has called on the army and police to join a revolution against the government.
6-1	478-482	Amid	
6-2	483-491	protests	
6-3	492-494	of	
6-4	495-497	up	
6-5	498-500	to	
6-6	501-508	200,000	
6-7	509-513	over	
6-8	514-523	Ukraine's	
6-9	524-532	disputed	
6-10	533-545	presidential	
6-11	546-554	election	
6-12	554-555	,	
6-13	556-566	officially	
6-14	567-575	declared	
6-15	576-581	loser	
6-16	582-588	Viktor	
6-17	589-599	Yushchenko	
6-18	600-603	has	
6-19	604-610	called	
6-20	611-613	on	
6-21	614-617	the	
6-22	618-622	army	
6-23	623-626	and	
6-24	627-633	police	
6-25	634-636	to	
6-26	637-641	join	
6-27	642-643	a	
6-28	644-654	revolution	
6-29	655-662	against	
6-30	663-666	the	
6-31	667-677	government	
6-32	677-678	.	

#Text=This comes after Yushchenko was symbolically sworn-in by deputies this weekend.
7-1	680-684	This	
7-2	685-690	comes	
7-3	691-696	after	
7-4	697-707	Yushchenko	
7-5	708-711	was	
7-6	712-724	symbolically	
7-7	725-733	sworn-in	
7-8	734-736	by	
7-9	737-745	deputies	
7-10	746-750	this	
7-11	751-758	weekend	
7-12	758-759	.	

#Text=Western election observers have expressed doubts over the vote's credibility.
8-1	761-768	Western	
8-2	769-777	election	
8-3	778-787	observers	
8-4	788-792	have	
8-5	793-802	expressed	
8-6	803-809	doubts	
8-7	810-814	over	
8-8	815-818	the	
8-9	819-825	vote's	
8-10	826-837	credibility	
8-11	837-838	.	

#Text=Viktor Yushchenko is a banker seen as pro-Western.
9-1	840-846	Viktor	
9-2	847-857	Yushchenko	
9-3	858-860	is	
9-4	861-862	a	
9-5	863-869	banker	
9-6	870-874	seen	
9-7	875-877	as	
9-8	878-889	pro-Western	
9-9	889-890	.	

#Text=His opposition is the incumbent Mr Yanukovych, who is seen as pro-Moscow, a sensitive issue in a former territory of the Soviet Union.
10-1	891-894	His	
10-2	895-905	opposition	
10-3	906-908	is	
10-4	909-912	the	
10-5	913-922	incumbent	
10-6	923-925	Mr	
10-7	926-936	Yanukovych	
10-8	936-937	,	
10-9	938-941	who	
10-10	942-944	is	
10-11	945-949	seen	
10-12	950-952	as	
10-13	953-963	pro-Moscow	
10-14	963-964	,	
10-15	965-966	a	
10-16	967-976	sensitive	
10-17	977-982	issue	
10-18	983-985	in	
10-19	986-987	a	
10-20	988-994	former	
10-21	995-1004	territory	
10-22	1005-1007	of	
10-23	1008-1011	the	
10-24	1012-1018	Soviet	
10-25	1019-1024	Union	
10-26	1024-1025	.	

#Text=The Daily Telegraph quotes Yushchenko as saying to deputies: "Ukraine is on the threshold of a civil conflict.
11-1	1027-1030	The	
11-2	1031-1036	Daily	
11-3	1037-1046	Telegraph	
11-4	1047-1053	quotes	
11-5	1054-1064	Yushchenko	
11-6	1065-1067	as	
11-7	1068-1074	saying	
11-8	1075-1077	to	
11-9	1078-1086	deputies	
11-10	1086-1087	:	
11-11	1088-1089	"	
11-12	1089-1096	Ukraine	
11-13	1097-1099	is	
11-14	1100-1102	on	
11-15	1103-1106	the	
11-16	1107-1116	threshold	
11-17	1117-1119	of	
11-18	1120-1121	a	
11-19	1122-1127	civil	
11-20	1128-1136	conflict	
11-21	1136-1137	.	

#Text=We have two choices: either the answer will be given by the parliament, or the streets will give an answer."
12-1	1138-1140	We	
12-2	1141-1145	have	
12-3	1146-1149	two	
12-4	1150-1157	choices	
12-5	1157-1158	:	
12-6	1159-1165	either	
12-7	1166-1169	the	
12-8	1170-1176	answer	
12-9	1177-1181	will	
12-10	1182-1184	be	
12-11	1185-1190	given	
12-12	1191-1193	by	
12-13	1194-1197	the	
12-14	1198-1208	parliament	
12-15	1208-1209	,	
12-16	1210-1212	or	
12-17	1213-1216	the	
12-18	1217-1224	streets	
12-19	1225-1229	will	
12-20	1230-1234	give	
12-21	1235-1237	an	
12-22	1238-1244	answer	
12-23	1244-1245	.	
12-24	1245-1246	"	
