#FORMAT=WebAnno TSV 3.3


#Text=A more efficient way to produce useable hydrogen has been demonstrated by researchers.
1-1	0-1	A	
1-2	2-6	more	
1-3	7-16	efficient	
1-4	17-20	way	
1-5	21-23	to	
1-6	24-31	produce	
1-7	32-39	useable	
1-8	40-48	hydrogen	
1-9	49-52	has	
1-10	53-57	been	
1-11	58-70	demonstrated	
1-12	71-73	by	
1-13	74-85	researchers	
1-14	85-86	.	

#Text=It uses very high-temperature electrolysis to separate hydrogen from water, so that hydrogen may be used for energy production.
2-1	87-89	It	
2-2	90-94	uses	
2-3	95-99	very	
2-4	100-116	high-temperature	
2-5	117-129	electrolysis	
2-6	130-132	to	
2-7	133-141	separate	
2-8	142-150	hydrogen	
2-9	151-155	from	
2-10	156-161	water	
2-11	161-162	,	
2-12	163-165	so	
2-13	166-170	that	
2-14	171-179	hydrogen	
2-15	180-183	may	
2-16	184-186	be	
2-17	187-191	used	
2-18	192-195	for	
2-19	196-202	energy	
2-20	203-213	production	
2-21	213-214	.	

#Text=Electrolysis is one method by which laboratories and factories produce hydrogen.
3-1	216-228	Electrolysis	
3-2	229-231	is	
3-3	232-235	one	
3-4	236-242	method	
3-5	243-245	by	
3-6	246-251	which	
3-7	252-264	laboratories	
3-8	265-268	and	
3-9	269-278	factories	
3-10	279-286	produce	
3-11	287-295	hydrogen	
3-12	295-296	.	

#Text=An electrical current is passed through water, breaking it down into hydrogen and oxygen gas, which are then collected above the water reservoir.
4-1	297-299	An	
4-2	300-310	electrical	
4-3	311-318	current	
4-4	319-321	is	
4-5	322-328	passed	
4-6	329-336	through	
4-7	337-342	water	
4-8	342-343	,	
4-9	344-352	breaking	
4-10	353-355	it	
4-11	356-360	down	
4-12	361-365	into	
4-13	366-374	hydrogen	
4-14	375-378	and	
4-15	379-385	oxygen	
4-16	386-389	gas	
4-17	389-390	,	
4-18	391-396	which	
4-19	397-400	are	
4-20	401-405	then	
4-21	406-415	collected	
4-22	416-421	above	
4-23	422-425	the	
4-24	426-431	water	
4-25	432-441	reservoir	
4-26	441-442	.	

#Text=Researchers in Salt Lake City, Utah, at Ceramtech Incorporated, in collaboration with workers at The Idaho National Engineering and Environmental Laboratory report that when water is superheated to 800 degrees Celsius, far less electricity is required to produce the same volume of hydrogen.
5-1	444-455	Researchers	
5-2	456-458	in	
5-3	459-463	Salt	
5-4	464-468	Lake	
5-5	469-473	City	
5-6	473-474	,	
5-7	475-479	Utah	
5-8	479-480	,	
5-9	481-483	at	
5-10	484-493	Ceramtech	
5-11	494-506	Incorporated	
5-12	506-507	,	
5-13	508-510	in	
5-14	511-524	collaboration	
5-15	525-529	with	
5-16	530-537	workers	
5-17	538-540	at	
5-18	541-544	The	
5-19	545-550	Idaho	
5-20	551-559	National	
5-21	560-571	Engineering	
5-22	572-575	and	
5-23	576-589	Environmental	
5-24	590-600	Laboratory	
5-25	601-607	report	
5-26	608-612	that	
5-27	613-617	when	
5-28	618-623	water	
5-29	624-626	is	
5-30	627-638	superheated	
5-31	639-641	to	
5-32	642-645	800	
5-33	646-653	degrees	
5-34	654-661	Celsius	
5-35	661-662	,	
5-36	663-666	far	
5-37	667-671	less	
5-38	672-683	electricity	
5-39	684-686	is	
5-40	687-695	required	
5-41	696-698	to	
5-42	699-706	produce	
5-43	707-710	the	
5-44	711-715	same	
5-45	716-722	volume	
5-46	723-725	of	
5-47	726-734	hydrogen	
5-48	734-735	.	

#Text=The researchers envision that future nuclear fission plants could be used both to heat the water as part of their cooling system, and generate the needed electricity.
6-1	736-739	The	
6-2	740-751	researchers	
6-3	752-760	envision	
6-4	761-765	that	
6-5	766-772	future	
6-6	773-780	nuclear	
6-7	781-788	fission	
6-8	789-795	plants	
6-9	796-801	could	
6-10	802-804	be	
6-11	805-809	used	
6-12	810-814	both	
6-13	815-817	to	
6-14	818-822	heat	
6-15	823-826	the	
6-16	827-832	water	
6-17	833-835	as	
6-18	836-840	part	
6-19	841-843	of	
6-20	844-849	their	
6-21	850-857	cooling	
6-22	858-864	system	
6-23	864-865	,	
6-24	866-869	and	
6-25	870-878	generate	
6-26	879-882	the	
6-27	883-889	needed	
6-28	890-901	electricity	
6-29	901-902	.	

#Text=Concerns have been raised regarding the safety of such arrangements, however.
7-1	904-912	Concerns	
7-2	913-917	have	
7-3	918-922	been	
7-4	923-929	raised	
7-5	930-939	regarding	
7-6	940-943	the	
7-7	944-950	safety	
7-8	951-953	of	
7-9	954-958	such	
7-10	959-971	arrangements	
7-11	971-972	,	
7-12	973-980	however	
7-13	980-981	.	

#Text=Jeremy Desterhoft, an independent consultant on nuclear energy safety, warns the "elevated levels of radiation required to sufficiently lower the atomic separation point is beyond the current capabilities of any recent cooler."
8-1	982-988	Jeremy	
8-2	989-999	Desterhoft	
8-3	999-1000	,	
8-4	1001-1003	an	
8-5	1004-1015	independent	
8-6	1016-1026	consultant	
8-7	1027-1029	on	
8-8	1030-1037	nuclear	
8-9	1038-1044	energy	
8-10	1045-1051	safety	
8-11	1051-1052	,	
8-12	1053-1058	warns	
8-13	1059-1062	the	
