#FORMAT=WebAnno TSV 3.3


#Text=The 1994 settlement agreement between UNIX Systems Laboratories (USL) and Regent of University of California (USL v.
1-1	0-3	The	
1-2	4-8	1994	
1-3	9-19	settlement	
1-4	20-29	agreement	
1-5	30-37	between	
1-6	38-42	UNIX	
1-7	43-50	Systems	
1-8	51-63	Laboratories	
1-9	64-65	(	
1-10	65-68	USL	
1-11	68-69	)	
1-12	70-73	and	
1-13	74-80	Regent	
1-14	81-83	of	
1-15	84-94	University	
1-16	95-97	of	
1-17	98-108	California	
1-18	109-110	(	
1-19	110-113	USL	
1-20	114-115	v	
1-21	115-116	.	

#Text=BSDi) was unsealed in November 2004 under the California Public Records Act (California Code § 6250-6270).
2-1	117-121	BSDi	
2-2	121-122	)	
2-3	123-126	was	
2-4	127-135	unsealed	
2-5	136-138	in	
2-6	139-147	November	
2-7	148-152	2004	
2-8	153-158	under	
2-9	159-162	the	
2-10	163-173	California	
2-11	174-180	Public	
2-12	181-188	Records	
2-13	189-192	Act	
2-14	193-194	(	
2-15	194-204	California	
2-16	205-209	Code	
2-17	210-211	§	
2-18	212-216	6250	
2-19	216-217	-	
2-20	217-221	6270	
2-21	221-222	)	
2-22	222-223	.	

#Text=The details of the settlement may have ramifications with respect to the SCO v.
3-1	224-227	The	
3-2	228-235	details	
3-3	236-238	of	
3-4	239-242	the	
3-5	243-253	settlement	
3-6	254-257	may	
3-7	258-262	have	
3-8	263-276	ramifications	
3-9	277-281	with	
3-10	282-289	respect	
3-11	290-292	to	
3-12	293-296	the	
3-13	297-300	SCO	
3-14	301-302	v	
3-15	302-303	.	

#Text=IBM case with SCO believing it is the successor in interest to USL.
4-1	304-307	IBM	
4-2	308-312	case	
4-3	313-317	with	
4-4	318-321	SCO	
4-5	322-331	believing	
4-6	332-334	it	
4-7	335-337	is	
4-8	338-341	the	
4-9	342-351	successor	
4-10	352-354	in	
4-11	355-363	interest	
4-12	364-366	to	
4-13	367-370	USL	
4-14	370-371	.	
