#FORMAT=WebAnno TSV 3.3


#Text=Internet portal and mail-provider Lycos Europe has launched a program to increase spammers' bills by having thousands of voluntary users' computers repeatedly query websites from which spam originates.
1-1	0-8	Internet	
1-2	9-15	portal	
1-3	16-19	and	
1-4	20-33	mail-provider	
1-5	34-39	Lycos	
1-6	40-46	Europe	
1-7	47-50	has	
1-8	51-59	launched	
1-9	60-61	a	
1-10	62-69	program	
1-11	70-72	to	
1-12	73-81	increase	
1-13	82-90	spammers	
1-14	90-91	'	
1-15	92-97	bills	
1-16	98-100	by	
1-17	101-107	having	
1-18	108-117	thousands	
1-19	118-120	of	
1-20	121-130	voluntary	
1-21	131-136	users	
1-22	136-137	'	
1-23	138-147	computers	
1-24	148-158	repeatedly	
1-25	159-164	query	
1-26	165-173	websites	
1-27	174-178	from	
1-28	179-184	which	
1-29	185-189	spam	
1-30	190-200	originates	
1-31	200-201	.	

#Text=Such a tactic would increase the bandwidth costs for these websites.
2-1	202-206	Such	
2-2	207-208	a	
2-3	209-215	tactic	
2-4	216-221	would	
2-5	222-230	increase	
2-6	231-234	the	
2-7	235-244	bandwidth	
2-8	245-250	costs	
2-9	251-254	for	
2-10	255-260	these	
2-11	261-269	websites	
2-12	269-270	.	

#Text=However, it also faces legal questions.
3-1	271-278	However	
3-2	278-279	,	
3-3	280-282	it	
3-4	283-287	also	
3-5	288-293	faces	
3-6	294-299	legal	
3-7	300-309	questions	
3-8	309-310	.	

#Text=Spamming, the mass sending of unsolicited emails, is lucrative in part because each email can be sent for nearly insignificant costs.
4-1	312-320	Spamming	
4-2	320-321	,	
4-3	322-325	the	
4-4	326-330	mass	
4-5	331-338	sending	
4-6	339-341	of	
4-7	342-353	unsolicited	
4-8	354-360	emails	
4-9	360-361	,	
4-10	362-364	is	
4-11	365-374	lucrative	
4-12	375-377	in	
4-13	378-382	part	
4-14	383-390	because	
4-15	391-395	each	
4-16	396-401	email	
4-17	402-405	can	
4-18	406-408	be	
4-19	409-413	sent	
4-20	414-417	for	
4-21	418-424	nearly	
4-22	425-438	insignificant	
4-23	439-444	costs	
4-24	444-445	.	

#Text=With such low costs, a commercial spammer needs only to have a very small number of recipients buy their product to make a profit.
5-1	446-450	With	
5-2	451-455	such	
5-3	456-459	low	
5-4	460-465	costs	
5-5	465-466	,	
5-6	467-468	a	
5-7	469-479	commercial	
5-8	480-487	spammer	
5-9	488-493	needs	
5-10	494-498	only	
5-11	499-501	to	
5-12	502-506	have	
5-13	507-508	a	
5-14	509-513	very	
5-15	514-519	small	
5-16	520-526	number	
5-17	527-529	of	
5-18	530-540	recipients	
5-19	541-544	buy	
5-20	545-550	their	
5-21	551-558	product	
5-22	559-561	to	
5-23	562-566	make	
5-24	567-568	a	
5-25	569-575	profit	
5-26	575-576	.	

#Text=The goal of many anti-spam proposals has been to increase the cost of spammers sending messages.
6-1	577-580	The	
6-2	581-585	goal	
6-3	586-588	of	
6-4	589-593	many	
6-5	594-603	anti-spam	
6-6	604-613	proposals	
6-7	614-617	has	
6-8	618-622	been	
6-9	623-625	to	
6-10	626-634	increase	
6-11	635-638	the	
6-12	639-643	cost	
6-13	644-646	of	
6-14	647-655	spammers	
6-15	656-663	sending	
6-16	664-672	messages	
6-17	672-673	.	

#Text=Lycos' approach is to make it more expensive to maintain servers that send spam.
7-1	674-679	Lycos	
7-2	679-680	'	
7-3	681-689	approach	
7-4	690-692	is	
7-5	693-695	to	
7-6	696-700	make	
7-7	701-703	it	
7-8	704-708	more	
7-9	709-718	expensive	
7-10	719-721	to	
7-11	722-730	maintain	
7-12	731-738	servers	
7-13	739-743	that	
7-14	744-748	send	
7-15	749-753	spam	
7-16	753-754	.	

#Text=Volunteers may download the screensaver from the Lycos website for it.
8-1	756-766	Volunteers	
8-2	767-770	may	
8-3	771-779	download	
8-4	780-783	the	
8-5	784-795	screensaver	
8-6	796-800	from	
8-7	801-804	the	
8-8	805-810	Lycos	
8-9	811-818	website	
8-10	819-822	for	
8-11	823-825	it	
8-12	825-826	.	

#Text=The program would run on a user's computer in the background and request about three megabytes (3MBs) of data every day.
9-1	827-830	The	
9-2	831-838	program	
9-3	839-844	would	
9-4	845-848	run	
9-5	849-851	on	
9-6	852-853	a	
9-7	854-860	user's	
9-8	861-869	computer	
9-9	870-872	in	
9-10	873-876	the	
9-11	877-887	background	
9-12	888-891	and	
9-13	892-899	request	
9-14	900-905	about	
9-15	906-911	three	
9-16	912-921	megabytes	
9-17	922-923	(	
9-18	923-927	3MBs	
9-19	927-928	)	
9-20	929-931	of	
9-21	932-936	data	
9-22	937-942	every	
9-23	943-946	day	
9-24	946-947	.	

#Text=The screensaver shows which spam server is being targeted by the user, where the server is located, and how many others are attacking it at that moment.
10-1	948-951	The	
10-2	952-963	screensaver	
10-3	964-969	shows	
10-4	970-975	which	
10-5	976-980	spam	
10-6	981-987	server	
10-7	988-990	is	
10-8	991-996	being	
10-9	997-1005	targeted	
10-10	1006-1008	by	
10-11	1009-1012	the	
10-12	1013-1017	user	
10-13	1017-1018	,	
10-14	1019-1024	where	
10-15	1025-1028	the	
10-16	1029-1035	server	
10-17	1036-1038	is	
10-18	1039-1046	located	
10-19	1046-1047	,	
10-20	1048-1051	and	
10-21	1052-1055	how	
10-22	1056-1060	many	
10-23	1061-1067	others	
10-24	1068-1071	are	
10-25	1072-1081	attacking	
10-26	1082-1084	it	
10-27	1085-1087	at	
10-28	1088-1092	that	
10-29	1093-1099	moment	
10-30	1099-1100	.	

#Text=Target email servers are selected from blacklists from anti-spam organizations, with Lycos' own verification.
11-1	1101-1107	Target	
11-2	1108-1113	email	
11-3	1114-1121	servers	
11-4	1122-1125	are	
11-5	1126-1134	selected	
11-6	1135-1139	from	
11-7	1140-1150	blacklists	
11-8	1151-1155	from	
11-9	1156-1165	anti-spam	
11-10	1166-1179	organizations	
11-11	1179-1180	,	
11-12	1181-1185	with	
11-13	1186-1191	Lycos	
11-14	1191-1192	'	
11-15	1193-1196	own	
11-16	1197-1209	verification	
11-17	1209-1210	.	

#Text=Legal issues arise over whether this can be interpreted as a denial of service attack.
12-1	1212-1217	Legal	
12-2	1218-1224	issues	
12-3	1225-1230	arise	
12-4	1231-1235	over	
12-5	1236-1243	whether	
12-6	1244-1248	this	
12-7	1249-1252	can	
12-8	1253-1255	be	
12-9	1256-1267	interpreted	
12-10	1268-1270	as	
12-11	1271-1272	a	
12-12	1273-1279	denial	
12-13	1280-1282	of	
12-14	1283-1290	service	
12-15	1291-1297	attack	
12-16	1297-1298	.	

