#FORMAT=WebAnno TSV 3.3


#Text=Hopes were rising that the impasse in the Good Friday Agreement could be broken with high level talks in Downing Street between the British Prime Minister Tony Blair and the Democratic Unionist leader Ian Paisley.
1-1	0-5	Hopes	
1-2	6-10	were	
1-3	11-17	rising	
1-4	18-22	that	
1-5	23-26	the	
1-6	27-34	impasse	
1-7	35-37	in	
1-8	38-41	the	
1-9	42-46	Good	
1-10	47-53	Friday	
1-11	54-63	Agreement	
1-12	64-69	could	
1-13	70-72	be	
1-14	73-79	broken	
1-15	80-84	with	
1-16	85-89	high	
1-17	90-95	level	
1-18	96-101	talks	
1-19	102-104	in	
1-20	105-112	Downing	
1-21	113-119	Street	
1-22	120-127	between	
1-23	128-131	the	
1-24	132-139	British	
1-25	140-145	Prime	
1-26	146-154	Minister	
1-27	155-159	Tony	
1-28	160-165	Blair	
1-29	166-169	and	
1-30	170-173	the	
1-31	174-184	Democratic	
1-32	185-193	Unionist	
1-33	194-200	leader	
1-34	201-204	Ian	
1-35	205-212	Paisley	
1-36	212-213	.	

#Text=It is also expected that the Republican Sinn Fein leader Gerry Adams would have separate meetings with the Irish leader Bertie Ahern in Dublin.
2-1	215-217	It	
2-2	218-220	is	
2-3	221-225	also	
2-4	226-234	expected	
2-5	235-239	that	
2-6	240-243	the	
2-7	244-254	Republican	
2-8	255-259	Sinn	
2-9	260-264	Fein	
2-10	265-271	leader	
2-11	272-277	Gerry	
2-12	278-283	Adams	
2-13	284-289	would	
2-14	290-294	have	
2-15	295-303	separate	
2-16	304-312	meetings	
2-17	313-317	with	
2-18	318-321	the	
2-19	322-327	Irish	
2-20	328-334	leader	
2-21	335-341	Bertie	
2-22	342-347	Ahern	
2-23	348-350	in	
2-24	351-357	Dublin	
2-25	357-358	.	

#Text=These meetings follow a historic meeting between Gerry Adams and Northern Ireland Chief Constable Hugh Orde over issues of police reform and decommissioning.
3-1	359-364	These	
3-2	365-373	meetings	
3-3	374-380	follow	
3-4	381-382	a	
3-5	383-391	historic	
3-6	392-399	meeting	
3-7	400-407	between	
3-8	408-413	Gerry	
3-9	414-419	Adams	
3-10	420-423	and	
3-11	424-432	Northern	
3-12	433-440	Ireland	
3-13	441-446	Chief	
3-14	447-456	Constable	
3-15	457-461	Hugh	
3-16	462-466	Orde	
3-17	467-471	over	
3-18	472-478	issues	
3-19	479-481	of	
3-20	482-488	police	
3-21	489-495	reform	
3-22	496-499	and	
3-23	500-515	decommissioning	
3-24	515-516	.	

#Text=The current impasse concerns the key issues of decommissioning of paramilitary weapons and the 'de-militarisation' of the province.
4-1	518-521	The	
4-2	522-529	current	
4-3	530-537	impasse	
4-4	538-546	concerns	
4-5	547-550	the	
4-6	551-554	key	
4-7	555-561	issues	
4-8	562-564	of	
4-9	565-580	decommissioning	
4-10	581-583	of	
4-11	584-596	paramilitary	
4-12	597-604	weapons	
4-13	605-608	and	
4-14	609-612	the	
4-15	613-614	'	
4-16	614-631	de-militarisation	
4-17	631-632	'	
4-18	633-635	of	
4-19	636-639	the	
4-20	640-648	province	
4-21	648-649	.	

#Text=Previous efforts to achieve a compromise failed because Unionists claimed insufficiently large amounts of IRA weaponry had been decommissioned, and that there was insufficient evidence that the weapons had in fact been destroyed.
5-1	650-658	Previous	
5-2	659-666	efforts	
5-3	667-669	to	
5-4	670-677	achieve	
5-5	678-679	a	
5-6	680-690	compromise	
5-7	691-697	failed	
5-8	698-705	because	
5-9	706-715	Unionists	
5-10	716-723	claimed	
5-11	724-738	insufficiently	
5-12	739-744	large	
5-13	745-752	amounts	
5-14	753-755	of	
5-15	756-759	IRA	
5-16	760-768	weaponry	
5-17	769-772	had	
5-18	773-777	been	
5-19	778-792	decommissioned	
5-20	792-793	,	
5-21	794-797	and	
5-22	798-802	that	
5-23	803-808	there	
5-24	809-812	was	
5-25	813-825	insufficient	
5-26	826-834	evidence	
5-27	835-839	that	
5-28	840-843	the	
5-29	844-851	weapons	
5-30	852-855	had	
5-31	856-858	in	
5-32	859-863	fact	
5-33	864-868	been	
5-34	869-878	destroyed	
5-35	878-879	.	

#Text=Some Unionists are insisting on photographic evidence of the destruction of IRA weapons, a request that is bound to be resisted by more militant Republicans.
6-1	881-885	Some	
6-2	886-895	Unionists	
6-3	896-899	are	
6-4	900-909	insisting	
6-5	910-912	on	
6-6	913-925	photographic	
6-7	926-934	evidence	
6-8	935-937	of	
6-9	938-941	the	
6-10	942-953	destruction	
6-11	954-956	of	
6-12	957-960	IRA	
6-13	961-968	weapons	
6-14	968-969	,	
6-15	970-971	a	
6-16	972-979	request	
6-17	980-984	that	
6-18	985-987	is	
6-19	988-993	bound	
6-20	994-996	to	
6-21	997-999	be	
6-22	1000-1008	resisted	
6-23	1009-1011	by	
6-24	1012-1016	more	
6-25	1017-1025	militant	
6-26	1026-1037	Republicans	
6-27	1037-1038	.	

#Text=Even if further decommissioning occurs, Republicans are almost certain to want a specific timetable for the removal of British Army bases in Republican leaning areas of Northern Ireland (such as South Armagh), which are much resented by some local inhabitants.
7-1	1039-1043	Even	
7-2	1044-1046	if	
7-3	1047-1054	further	
7-4	1055-1070	decommissioning	
7-5	1071-1077	occurs	
7-6	1077-1078	,	
7-7	1079-1090	Republicans	
7-8	1091-1094	are	
7-9	1095-1101	almost	
7-10	1102-1109	certain	
7-11	1110-1112	to	
7-12	1113-1117	want	
7-13	1118-1119	a	
7-14	1120-1128	specific	
