#FORMAT=WebAnno TSV 3.3


#Text=United States President George W.
1-1	0-6	United	
1-2	7-13	States	
1-3	14-23	President	
1-4	24-30	George	
1-5	31-32	W	
1-6	32-33	.	

#Text=Bush made his first official state visit to Canada this week.
2-1	34-38	Bush	
2-2	39-43	made	
2-3	44-47	his	
2-4	48-53	first	
2-5	54-62	official	
2-6	63-68	state	
2-7	69-74	visit	
2-8	75-77	to	
2-9	78-84	Canada	
2-10	85-89	this	
2-11	90-94	week	
2-12	94-95	.	

#Text=After the political frost between the two states surrounding the U.S.'
3-1	97-102	After	
3-2	103-106	the	
3-3	107-116	political	
3-4	117-122	frost	
3-5	123-130	between	
3-6	131-134	the	
3-7	135-138	two	
3-8	139-145	states	
3-9	146-157	surrounding	
3-10	158-161	the	
3-11	162-165	U.S	
3-12	165-166	.	
3-13	166-167	'	

#Text=War on Terror policy and its invasion of Iraq in 2003, the kind of relationship the neighbor states can build or rebuild is thought to be of concern to many Canadians &amp;mdash; the majority of whom remain highly critical of the Bush administration's policies.
4-1	168-171	War	
4-2	172-174	on	
4-3	175-181	Terror	
4-4	182-188	policy	
4-5	189-192	and	
4-6	193-196	its	
4-7	197-205	invasion	
4-8	206-208	of	
4-9	209-213	Iraq	
4-10	214-216	in	
4-11	217-221	2003	
4-12	221-222	,	
4-13	223-226	the	
4-14	227-231	kind	
4-15	232-234	of	
4-16	235-247	relationship	
4-17	248-251	the	
4-18	252-260	neighbor	
4-19	261-267	states	
4-20	268-271	can	
4-21	272-277	build	
4-22	278-280	or	
4-23	281-288	rebuild	
4-24	289-291	is	
4-25	292-299	thought	
4-26	300-302	to	
4-27	303-305	be	
4-28	306-308	of	
4-29	309-316	concern	
4-30	317-319	to	
4-31	320-324	many	
4-32	325-334	Canadians	
4-33	335-336	&	
4-34	336-339	amp	
4-35	339-340	;	
4-36	340-345	mdash	
4-37	345-346	;	
4-38	347-350	the	
4-39	351-359	majority	
4-40	360-362	of	
4-41	363-367	whom	
4-42	368-374	remain	
4-43	375-381	highly	
4-44	382-390	critical	
4-45	391-393	of	
4-46	394-397	the	
4-47	398-402	Bush	
4-48	403-419	administration's	
4-49	420-428	policies	
4-50	428-429	.	

#Text=Topics discussed included the U.S.
5-1	431-437	Topics	
5-2	438-447	discussed	
5-3	448-456	included	
5-4	457-460	the	
5-5	461-464	U.S	
5-6	464-465	.	

#Text="Star Wars" missile defence system, the future of NORAD (North American Aerospace Defence Command), combatting of AIDS and other diseases in Africa, and cracking down on illegal activities on the U.S.
6-1	466-467	"	
6-2	467-471	Star	
6-3	472-476	Wars	
6-4	476-477	"	
6-5	478-485	missile	
6-6	486-493	defence	
6-7	494-500	system	
6-8	500-501	,	
6-9	502-505	the	
6-10	506-512	future	
6-11	513-515	of	
6-12	516-521	NORAD	
6-13	522-523	(	
6-14	523-528	North	
6-15	529-537	American	
6-16	538-547	Aerospace	
6-17	548-555	Defence	
6-18	556-563	Command	
6-19	563-564	)	
6-20	564-565	,	
6-21	566-576	combatting	
6-22	577-579	of	
6-23	580-584	AIDS	
6-24	585-588	and	
6-25	589-594	other	
6-26	595-603	diseases	
6-27	604-606	in	
6-28	607-613	Africa	
6-29	613-614	,	
6-30	615-618	and	
6-31	619-627	cracking	
6-32	628-632	down	
6-33	633-635	on	
6-34	636-643	illegal	
6-35	644-654	activities	
6-36	655-657	on	
6-37	658-661	the	
6-38	662-665	U.S	
6-39	665-666	.	

#Text=-Canada border.
7-1	666-667	-	
7-2	667-673	Canada	
7-3	674-680	border	
7-4	680-681	.	

#Text=They also discussed trade issues including beef, lumber, and prescription drugs.
8-1	682-686	They	
8-2	687-691	also	
8-3	692-701	discussed	
8-4	702-707	trade	
8-5	708-714	issues	
8-6	715-724	including	
8-7	725-729	beef	
