#FORMAT=WebAnno TSV 3.3


#Text=Miss Marina Souza, aged 43, was kidnapped last Saturday, November 6, in Praia Grande, São Paulo, during a barbecue with her relatives.
1-1	0-4	Miss	
1-2	5-11	Marina	
1-3	12-17	Souza	
1-4	17-18	,	
1-5	19-23	aged	
1-6	24-26	43	
1-7	26-27	,	
1-8	28-31	was	
1-9	32-41	kidnapped	
1-10	42-46	last	
1-11	47-55	Saturday	
1-12	55-56	,	
1-13	57-65	November	
1-14	66-67	6	
1-15	67-68	,	
1-16	69-71	in	
1-17	72-77	Praia	
1-18	78-84	Grande	
1-19	84-85	,	
1-20	86-89	São	
1-21	90-95	Paulo	
1-22	95-96	,	
1-23	97-103	during	
1-24	104-105	a	
1-25	106-114	barbecue	
1-26	115-119	with	
1-27	120-123	her	
1-28	124-133	relatives	
1-29	133-134	.	

#Text=She is the mother of Robson de Souza, known as Robinho (Little Robin), a Brazilian soccer player for the Santos Football Club.
2-1	135-138	She	
2-2	139-141	is	
2-3	142-145	the	
2-4	146-152	mother	
2-5	153-155	of	
2-6	156-162	Robson	
2-7	163-165	de	
2-8	166-171	Souza	
2-9	171-172	,	
2-10	173-178	known	
2-11	179-181	as	
2-12	182-189	Robinho	
2-13	190-191	(	
2-14	191-197	Little	
2-15	198-203	Robin	
2-16	203-204	)	
2-17	204-205	,	
2-18	206-207	a	
2-19	208-217	Brazilian	
2-20	218-224	soccer	
2-21	225-231	player	
2-22	232-235	for	
2-23	236-239	the	
2-24	240-246	Santos	
2-25	247-255	Football	
2-26	256-260	Club	
2-27	260-261	.	

#Text=Since the incident, Robson De Souza ('Robinho') has made few public appearances and stopped playing soccer, troubling his team Santos.
3-1	262-267	Since	
3-2	268-271	the	
3-3	272-280	incident	
3-4	280-281	,	
3-5	282-288	Robson	
3-6	289-291	De	
3-7	292-297	Souza	
3-8	298-299	(	
3-9	299-300	'	
3-10	300-307	Robinho	
3-11	307-308	'	
3-12	308-309	)	
3-13	310-313	has	
3-14	314-318	made	
3-15	319-322	few	
3-16	323-329	public	
3-17	330-341	appearances	
3-18	342-345	and	
3-19	346-353	stopped	
3-20	354-361	playing	
3-21	362-368	soccer	
3-22	368-369	,	
3-23	370-379	troubling	
3-24	380-383	his	
3-25	384-388	team	
3-26	389-395	Santos	
3-27	395-396	.	

#Text="I hope this all finishes well and that I can go back to playing football again," he was quoted by Reuters on November 9.
4-1	397-398	"	
4-2	398-399	I	
4-3	400-404	hope	
4-4	405-409	this	
4-5	410-413	all	
4-6	414-422	finishes	
4-7	423-427	well	
4-8	428-431	and	
4-9	432-436	that	
4-10	437-438	I	
4-11	439-442	can	
4-12	443-445	go	
4-13	446-450	back	
4-14	451-453	to	
4-15	454-461	playing	
4-16	462-470	football	
4-17	471-476	again	
4-18	476-477	,	
4-19	477-478	"	
4-20	479-481	he	
4-21	482-485	was	
4-22	486-492	quoted	
4-23	493-495	by	
4-24	496-503	Reuters	
4-25	504-506	on	
4-26	507-515	November	
4-27	516-517	9	
4-28	517-518	.	

#Text=Robinho is considered one of the best Brazilian forward players at the present time and he is an important player for Santos.
5-1	520-527	Robinho	
5-2	528-530	is	
5-3	531-541	considered	
5-4	542-545	one	
5-5	546-548	of	
5-6	549-552	the	
5-7	553-557	best	
5-8	558-567	Brazilian	
5-9	568-575	forward	
5-10	576-583	players	
5-11	584-586	at	
5-12	587-590	the	
5-13	591-598	present	
5-14	599-603	time	
5-15	604-607	and	
5-16	608-610	he	
5-17	611-613	is	
5-18	614-616	an	
5-19	617-626	important	
5-20	627-633	player	
5-21	634-637	for	
5-22	638-644	Santos	
5-23	644-645	.	

#Text=The authorities are cautious to release any information concerning the case, as this could jeopardize both the investigations and Ms.
6-1	647-650	The	
6-2	651-662	authorities	
6-3	663-666	are	
6-4	667-675	cautious	
6-5	676-678	to	
6-6	679-686	release	
6-7	687-690	any	
6-8	691-702	information	
6-9	703-713	concerning	
6-10	714-717	the	
6-11	718-722	case	
6-12	722-723	,	
6-13	724-726	as	
6-14	727-731	this	
6-15	732-737	could	
6-16	738-748	jeopardize	
6-17	749-753	both	
6-18	754-757	the	
6-19	758-772	investigations	
6-20	773-776	and	
6-21	777-779	Ms	
6-22	779-780	.	

#Text=Souza's life.
7-1	781-788	Souza's	
7-2	789-793	life	
7-3	793-794	.	
