#FORMAT=WebAnno TSV 3.3


#Text=Late today, Apple Computer Inc.'
1-1	0-4	Late	
1-2	5-10	today	
1-3	10-11	,	
1-4	12-17	Apple	
1-5	18-26	Computer	
1-6	27-30	Inc	
1-7	30-31	.	
1-8	31-32	'	

#Text=s iTunes Music Store (iTMS) was opened to Canadians.
2-1	32-33	s	
2-2	34-40	iTunes	
2-3	41-46	Music	
2-4	47-52	Store	
2-5	53-54	(	
2-6	54-58	iTMS	
2-7	58-59	)	
2-8	60-63	was	
2-9	64-70	opened	
2-10	71-73	to	
2-11	74-83	Canadians	
2-12	83-84	.	

#Text=The 700,000+ songs are priced at CAD 99¢ (USD 84¢) per song, the lowest price of any iTMS localization to date.
3-1	85-88	The	
3-2	89-96	700,000	
3-3	96-97	+	
3-4	98-103	songs	
3-5	104-107	are	
3-6	108-114	priced	
3-7	115-117	at	
3-8	118-121	CAD	
3-9	122-125	99¢	
3-10	126-127	(	
3-11	127-130	USD	
3-12	131-134	84¢	
3-13	134-135	)	
3-14	136-139	per	
3-15	140-144	song	
3-16	144-145	,	
3-17	146-149	the	
3-18	150-156	lowest	
3-19	157-162	price	
3-20	163-165	of	
3-21	166-169	any	
3-22	170-174	iTMS	
3-23	175-187	localization	
3-24	188-190	to	
3-25	191-195	date	
3-26	195-196	.	

#Text=The Canada localization also provides customers the same personal rights for songs as with existing stores:
#Text=
#Text=* Ability to listen to a song on 5 computers.
#Text=* Unlimited CD burning.
#Text=* Burning the same playlist up to seven times.
#Text=* Unlimited iPod usage.
4-1	197-200	The	
4-2	201-207	Canada	
4-3	208-220	localization	
4-4	221-225	also	
4-5	226-234	provides	
4-6	235-244	customers	
4-7	245-248	the	
4-8	249-253	same	
4-9	254-262	personal	
4-10	263-269	rights	
4-11	270-273	for	
4-12	274-279	songs	
4-13	280-282	as	
4-14	283-287	with	
4-15	288-296	existing	
4-16	297-303	stores	
4-17	303-304	:	
4-18	306-307	*	
4-19	308-315	Ability	
4-20	316-318	to	
4-21	319-325	listen	
4-22	326-328	to	
4-23	329-330	a	
4-24	331-335	song	
4-25	336-338	on	
4-26	339-340	5	
4-27	341-350	computers	
4-28	350-351	.	
4-29	352-353	*	
4-30	354-363	Unlimited	
4-31	364-366	CD	
4-32	367-374	burning	
4-33	374-375	.	
4-34	376-377	*	
4-35	378-385	Burning	
4-36	386-389	the	
