#FORMAT=WebAnno TSV 3.3


#Text=CAPE CANAVERAL, Florida - The first new heavy lift space vehicle in a generation is cleared to launch from Cape Canaveral Air Force Station.
1-1	0-4	CAPE	
1-2	5-14	CANAVERAL	
1-3	14-15	,	
1-4	16-23	Florida	
1-5	24-25	-	
1-6	26-29	The	
1-7	30-35	first	
1-8	36-39	new	
1-9	40-45	heavy	
1-10	46-50	lift	
1-11	51-56	space	
1-12	57-64	vehicle	
1-13	65-67	in	
1-14	68-69	a	
1-15	70-80	generation	
1-16	81-83	is	
1-17	84-91	cleared	
1-18	92-94	to	
1-19	95-101	launch	
1-20	102-106	from	
1-21	107-111	Cape	
1-22	112-121	Canaveral	
1-23	122-125	Air	
1-24	126-131	Force	
1-25	132-139	Station	
1-26	139-140	.	

#Text=The Boeing Delta IV Heavy has missed launch opportunities three days in a row (starting Friday, December 12) due to minor technical difficulties.
2-1	141-144	The	
2-2	145-151	Boeing	
2-3	152-157	Delta	
2-4	158-160	IV	
2-5	161-166	Heavy	
2-6	167-170	has	
2-7	171-177	missed	
2-8	178-184	launch	
2-9	185-198	opportunities	
2-10	199-204	three	
2-11	205-209	days	
2-12	210-212	in	
2-13	213-214	a	
2-14	215-218	row	
2-15	219-220	(	
2-16	220-228	starting	
2-17	229-235	Friday	
2-18	235-236	,	
2-19	237-245	December	
2-20	246-248	12	
2-21	248-249	)	
2-22	250-253	due	
2-23	254-256	to	
2-24	257-262	minor	
2-25	263-272	technical	
2-26	273-285	difficulties	
2-27	285-286	.	

#Text=It is now scheduled to launch Dec. 20 or 21 from pad SLC-37B.
3-1	287-289	It	
3-2	290-292	is	
3-3	293-296	now	
3-4	297-306	scheduled	
3-5	307-309	to	
3-6	310-316	launch	
3-7	317-320	Dec	
3-8	320-321	.	
3-9	322-324	20	
3-10	325-327	or	
3-11	328-330	21	
3-12	331-335	from	
3-13	336-339	pad	
3-14	340-343	SLC	
3-15	343-344	-	
3-16	344-347	37B	
3-17	347-348	.	

#Text=The Delta 4 was developed as part of the U.S Air Force's Evolved Expendable Launch Vehicle program to reduce costs and improve reliability.
4-1	352-355	The	
4-2	356-361	Delta	
4-3	362-363	4	
4-4	364-367	was	
4-5	368-377	developed	
4-6	378-380	as	
4-7	381-385	part	
4-8	386-388	of	
4-9	389-392	the	
4-10	393-396	U.S	
4-11	397-400	Air	
4-12	401-408	Force's	
4-13	409-416	Evolved	
4-14	417-427	Expendable	
4-15	428-434	Launch	
4-16	435-442	Vehicle	
4-17	443-450	program	
4-18	451-453	to	
4-19	454-460	reduce	
4-20	461-466	costs	
4-21	467-470	and	
4-22	471-478	improve	
4-23	479-490	reliability	
4-24	490-491	.	
