#FORMAT=WebAnno TSV 3.3


#Text=Millions of origami cranes have been dropped on Thailand's three southern provinces following violence between the government and ethnic minority Muslim populations.
1-1	0-8	Millions	
1-2	9-11	of	
1-3	12-19	origami	
1-4	20-26	cranes	
1-5	27-31	have	
1-6	32-36	been	
1-7	37-44	dropped	
1-8	45-47	on	
1-9	48-58	Thailand's	
1-10	59-64	three	
1-11	65-73	southern	
1-12	74-83	provinces	
1-13	84-93	following	
1-14	94-102	violence	
1-15	103-110	between	
1-16	111-114	the	
1-17	115-125	government	
1-18	126-129	and	
1-19	130-136	ethnic	
1-20	137-145	minority	
1-21	146-152	Muslim	
1-22	153-164	populations	
1-23	164-165	.	

#Text=The move has been called a "goodwill gesture" towards Muslims.
2-1	166-169	The	
2-2	170-174	move	
2-3	175-178	has	
2-4	179-183	been	
2-5	184-190	called	
2-6	191-192	a	
2-7	193-194	"	
2-8	194-202	goodwill	
2-9	203-210	gesture	
2-10	210-211	"	
2-11	212-219	towards	
2-12	220-227	Muslims	
2-13	227-228	.	

#Text=Up to 120 million such paper sculptures were dropped on Thailand's three southern-most provinces, Narathiwat, Pattani and Yala.
3-1	232-234	Up	
3-2	235-237	to	
3-3	238-241	120	
3-4	242-249	million	
3-5	250-254	such	
3-6	255-260	paper	
3-7	261-271	sculptures	
3-8	272-276	were	
3-9	277-284	dropped	
3-10	285-287	on	
3-11	288-298	Thailand's	
3-12	299-304	three	
3-13	305-318	southern-most	
3-14	319-328	provinces	
3-15	328-329	,	
3-16	330-340	Narathiwat	
3-17	340-341	,	
3-18	342-349	Pattani	
3-19	350-353	and	
3-20	354-358	Yala	
3-21	358-359	.	

#Text=Tensions in this area have increased recently, peaking with the recent death of 85 demonstrators arrested during a protest.
4-1	360-368	Tensions	
4-2	369-371	in	
4-3	372-376	this	
4-4	377-381	area	
4-5	382-386	have	
4-6	387-396	increased	
4-7	397-405	recently	
4-8	405-406	,	
4-9	407-414	peaking	
4-10	415-419	with	
4-11	420-423	the	
4-12	424-430	recent	
4-13	431-436	death	
4-14	437-439	of	
4-15	440-442	85	
4-16	443-456	demonstrators	
4-17	457-465	arrested	
4-18	466-472	during	
4-19	473-474	a	
4-20	475-482	protest	
4-21	482-483	.	

