#FORMAT=WebAnno TSV 3.3


#Text=Former Houston Rockets star Calvin Murphy, accused of molestation by five of daughters, was found not guilty by the jury, putting an end to the eight-month long trial.
1-1	0-6	Former	
1-2	7-14	Houston	
1-3	15-22	Rockets	
1-4	23-27	star	
1-5	28-34	Calvin	
1-6	35-41	Murphy	
1-7	41-42	,	
1-8	43-50	accused	
1-9	51-53	of	
1-10	54-65	molestation	
1-11	66-68	by	
1-12	69-73	five	
1-13	74-76	of	
1-14	77-86	daughters	
1-15	86-87	,	
1-16	88-91	was	
1-17	92-97	found	
1-18	98-101	not	
1-19	102-108	guilty	
1-20	109-111	by	
1-21	112-115	the	
1-22	116-120	jury	
1-23	120-121	,	
1-24	122-129	putting	
1-25	130-132	an	
1-26	133-136	end	
1-27	137-139	to	
1-28	140-143	the	
1-29	144-155	eight-month	
1-30	156-160	long	
1-31	161-166	trial	
1-32	166-167	.	

#Text=The alleged incidents took place more than ten years ago, when the daughters, who are now grown, ranged in age from 6 to 16.
2-1	171-174	The	
2-2	175-182	alleged	
2-3	183-192	incidents	
2-4	193-197	took	
2-5	198-203	place	
2-6	204-208	more	
2-7	209-213	than	
2-8	214-217	ten	
2-9	218-223	years	
2-10	224-227	ago	
2-11	227-228	,	
2-12	229-233	when	
2-13	234-237	the	
2-14	238-247	daughters	
2-15	247-248	,	
2-16	249-252	who	
2-17	253-256	are	
2-18	257-260	now	
2-19	261-266	grown	
2-20	266-267	,	
2-21	268-274	ranged	
2-22	275-277	in	
2-23	278-281	age	
2-24	282-286	from	
2-25	287-288	6	
2-26	289-291	to	
2-27	292-294	16	
2-28	294-295	.	

#Text=They accused Murphy of fondling them and performing oral sex on them.
3-1	296-300	They	
3-2	301-308	accused	
3-3	309-315	Murphy	
3-4	316-318	of	
3-5	319-327	fondling	
3-6	328-332	them	
3-7	333-336	and	
3-8	337-347	performing	
3-9	348-352	oral	
3-10	353-356	sex	
3-11	357-359	on	
3-12	360-364	them	
3-13	364-365	.	

#Text=Murphy has 14 children by nine women.
4-1	366-372	Murphy	
4-2	373-376	has	
4-3	377-379	14	
4-4	380-388	children	
4-5	389-391	by	
4-6	392-396	nine	
4-7	397-402	women	
4-8	402-403	.	

