#FORMAT=WebAnno TSV 3.3


#Text=An explosion during the early hours of Wednesday blew a big hole in a house in central Stockholm.
1-1	0-2	An	
1-2	3-12	explosion	
1-3	13-19	during	
1-4	20-23	the	
1-5	24-29	early	
1-6	30-35	hours	
1-7	36-38	of	
1-8	39-48	Wednesday	
1-9	49-53	blew	
1-10	54-55	a	
1-11	56-59	big	
1-12	60-64	hole	
1-13	65-67	in	
1-14	68-69	a	
1-15	70-75	house	
1-16	76-78	in	
1-17	79-86	central	
1-18	87-96	Stockholm	
1-19	96-97	.	

#Text=The tenant, a 48 year old man suspected of stealing valuable books from the Royal Library, is missing.
2-1	98-101	The	
2-2	102-108	tenant	
2-3	108-109	,	
2-4	110-111	a	
2-5	112-114	48	
2-6	115-119	year	
2-7	120-123	old	
2-8	124-127	man	
2-9	128-137	suspected	
2-10	138-140	of	
2-11	141-149	stealing	
2-12	150-158	valuable	
2-13	159-164	books	
2-14	165-169	from	
2-15	170-173	the	
2-16	174-179	Royal	
2-17	180-187	Library	
2-18	187-188	,	
2-19	189-191	is	
2-20	192-199	missing	
2-21	199-200	.	

#Text=Two persons were lightly injured in the explosion.
3-1	201-204	Two	
3-2	205-212	persons	
3-3	213-217	were	
3-4	218-225	lightly	
3-5	226-233	injured	
3-6	234-236	in	
3-7	237-240	the	
3-8	241-250	explosion	
3-9	250-251	.	

#Text=The cause of the explosion is not yet known.
4-1	255-258	The	
4-2	259-264	cause	
4-3	265-267	of	
4-4	268-271	the	
4-5	272-281	explosion	
4-6	282-284	is	
4-7	285-288	not	
4-8	289-292	yet	
4-9	293-298	known	
4-10	298-299	.	

#Text=The apartment has been searched with specially trained dogs, but nothing was found.
5-1	300-303	The	
5-2	304-313	apartment	
5-3	314-317	has	
5-4	318-322	been	
5-5	323-331	searched	
5-6	332-336	with	
5-7	337-346	specially	
5-8	347-354	trained	
5-9	355-359	dogs	
5-10	359-360	,	
5-11	361-364	but	
5-12	365-372	nothing	
5-13	373-376	was	
5-14	377-382	found	
5-15	382-383	.	

#Text=This does not rule out the possibility of explosives, just that none of the more common ones were used, according to Swedish police.
6-1	384-388	This	
6-2	389-393	does	
6-3	394-397	not	
6-4	398-402	rule	
6-5	403-406	out	
6-6	407-410	the	
6-7	411-422	possibility	
6-8	423-425	of	
6-9	426-436	explosives	
6-10	436-437	,	
6-11	438-442	just	
6-12	443-447	that	
6-13	448-452	none	
6-14	453-455	of	
6-15	456-459	the	
6-16	460-464	more	
6-17	465-471	common	
6-18	472-476	ones	
6-19	477-481	were	
