#FORMAT=WebAnno TSV 3.3


#Text=Under a draft plan of the Australian Federal Government's "mutual obligation" agreements, members of the Aboriginal community Mulan in Western Australia will be obliged to ensure that homes and yards are clean, students attend school, rubbish bins are emptied twice a week and that children undertake frequent facewashing.
1-1	0-5	Under	
1-2	6-7	a	
1-3	8-13	draft	
1-4	14-18	plan	
1-5	19-21	of	
1-6	22-25	the	
1-7	26-36	Australian	
1-8	37-44	Federal	
1-9	45-57	Government's	
1-10	58-59	"	
1-11	59-65	mutual	
1-12	66-76	obligation	
1-13	76-77	"	
1-14	78-88	agreements	
1-15	88-89	,	
1-16	90-97	members	
1-17	98-100	of	
1-18	101-104	the	
1-19	105-115	Aboriginal	
1-20	116-125	community	
1-21	126-131	Mulan	
1-22	132-134	in	
1-23	135-142	Western	
1-24	143-152	Australia	
1-25	153-157	will	
1-26	158-160	be	
1-27	161-168	obliged	
1-28	169-171	to	
1-29	172-178	ensure	
1-30	179-183	that	
1-31	184-189	homes	
1-32	190-193	and	
1-33	194-199	yards	
1-34	200-203	are	
1-35	204-209	clean	
1-36	209-210	,	
1-37	211-219	students	
1-38	220-226	attend	
1-39	227-233	school	
1-40	233-234	,	
1-41	235-242	rubbish	
1-42	243-247	bins	
1-43	248-251	are	
1-44	252-259	emptied	
1-45	260-265	twice	
1-46	266-267	a	
1-47	268-272	week	
1-48	273-276	and	
1-49	277-281	that	
1-50	282-290	children	
1-51	291-300	undertake	
1-52	301-309	frequent	
1-53	310-321	facewashing	
1-54	321-322	.	

#Text=As a "quid pro quo" the community will receive $172,000 AUD in federal funding for petrol bowsers and fuel stations, while the Western Australian Government will provide regular testing for skin infections, worm infestations and the eye condition trachoma, which is widespread in Mulan.
2-1	326-328	As	
2-2	329-330	a	
2-3	331-332	"	
2-4	332-336	quid	
2-5	337-340	pro	
2-6	341-344	quo	
2-7	344-345	"	
2-8	346-349	the	
2-9	350-359	community	
2-10	360-364	will	
2-11	365-372	receive	
2-12	373-381	$172,000	
2-13	382-385	AUD	
2-14	386-388	in	
2-15	389-396	federal	
2-16	397-404	funding	
2-17	405-408	for	
2-18	409-415	petrol	
2-19	416-423	bowsers	
2-20	424-427	and	
2-21	428-432	fuel	
2-22	433-441	stations	
2-23	441-442	,	
2-24	443-448	while	
2-25	449-452	the	
2-26	453-460	Western	
2-27	461-471	Australian	
2-28	472-482	Government	
2-29	483-487	will	
2-30	488-495	provide	
2-31	496-503	regular	
2-32	504-511	testing	
2-33	512-515	for	
2-34	516-520	skin	
2-35	521-531	infections	
2-36	531-532	,	
2-37	533-537	worm	
2-38	538-550	infestations	
2-39	551-554	and	
2-40	555-558	the	
2-41	559-562	eye	
2-42	563-572	condition	
2-43	573-581	trachoma	
2-44	581-582	,	
2-45	583-588	which	
2-46	589-591	is	
2-47	592-602	widespread	
2-48	603-605	in	
2-49	606-611	Mulan	
2-50	611-612	.	

#Text=Community administrator Mark Sewell approached Wayne Gibbons, a former Aboriginal and Torres Strait Islander Commission chief executive, to initate an agreement four months, once it became clear that the face-washing program at the Mulan Catholic school was having a positive effect.
3-1	616-625	Community	
3-2	626-639	administrator	
3-3	640-644	Mark	
3-4	645-651	Sewell	
3-5	652-662	approached	
3-6	663-668	Wayne	
3-7	669-676	Gibbons	
3-8	676-677	,	
3-9	678-679	a	
3-10	680-686	former	
3-11	687-697	Aboriginal	
3-12	698-701	and	
3-13	702-708	Torres	
3-14	709-715	Strait	
3-15	716-724	Islander	
3-16	725-735	Commission	
3-17	736-741	chief	
3-18	742-751	executive	
3-19	751-752	,	
3-20	753-755	to	
3-21	756-763	initate	
3-22	764-766	an	
3-23	767-776	agreement	
3-24	777-781	four	
3-25	782-788	months	
3-26	788-789	,	
3-27	790-794	once	
3-28	795-797	it	
3-29	798-804	became	
